;nomen;nojour;nomjour;tyrep;temrep;duree;lieu;avecqui
26556;112744;3;mardi;1;0;5.0;1.0;1.0
26557;112744;3;mardi;2;1;;;
26558;112744;3;mardi;3;0;15.0;6.0;3.0
26559;112744;3;mardi;4;0;;;
26560;112744;3;mardi;5;0;15.0;1.0;1.0
26561;112744;3;mardi;6;0;;;
26598;112754;3;dimanche;1;0;30.0;1.0;2.0
26599;112754;3;dimanche;2;1;;;
26600;112754;3;dimanche;3;0;60.0;1.0;2.0
26601;112754;3;dimanche;4;0;;;
26602;112754;3;dimanche;5;0;30.0;1.0;2.0
26603;112754;3;dimanche;6;0;;;
26640;112755;3;vendredi;1;0;15.0;1.0;1.0
26641;112755;3;vendredi;2;0;;;
26642;112755;3;vendredi;3;0;30.0;1.0;2.0
26643;112755;3;vendredi;4;0;;;
26644;112755;3;vendredi;5;0;45.0;1.0;2.0
26645;112755;3;vendredi;6;0;;;
26682;112756;3;jeudi;1;0;15.0;1.0;2.0
26683;112756;3;jeudi;2;1;;;
26684;112756;3;jeudi;3;0;60.0;1.0;9.0
26685;112756;3;jeudi;4;1;;;
26686;112756;3;jeudi;5;0;60.0;1.0;2.0
26687;112756;3;jeudi;6;0;;;
26724;112760;3;dimanche;1;0;30.0;1.0;1.0
26725;112760;3;dimanche;2;0;;;
26726;112760;3;dimanche;3;0;75.0;3.0;3.0
26727;112760;3;dimanche;4;1;;;
26728;112760;3;dimanche;5;0;30.0;1.0;1.0
26729;112760;3;dimanche;6;0;;;
26766;112761;3;vendredi;1;0;10.0;1.0;1.0
26767;112761;3;vendredi;2;1;;;
26768;112761;3;vendredi;3;0;45.0;1.0;1.0
26769;112761;3;vendredi;4;1;;;
26770;112761;3;vendredi;5;0;30.0;1.0;1.0
26771;112761;3;vendredi;6;1;;;
26808;112762;3;samedi;1;0;10.0;1.0;4.0
26809;112762;3;samedi;2;1;;;
26810;112762;3;samedi;3;1;;;
26811;112762;3;samedi;4;0;;;
26812;112762;3;samedi;5;0;20.0;5.0;4.0
26813;112762;3;samedi;6;1;;;
26850;112764;3;vendredi;1;0;30.0;1.0;1.0
26851;112764;3;vendredi;2;0;;;
26852;112764;3;vendredi;3;0;30.0;1.0;2.0
26853;112764;3;vendredi;4;0;;;
26854;112764;3;vendredi;5;0;20.0;1.0;2.0
26855;112764;3;vendredi;6;1;;;
26892;112765;3;mardi;1;0;10.0;0.0;2.0
26893;112765;3;mardi;2;1;;;
26894;112765;3;mardi;3;0;30.0;1.0;2.0
26895;112765;3;mardi;4;1;;;
26896;112765;3;mardi;5;0;60.0;1.0;3.0
26897;112765;3;mardi;6;1;;;
26934;112767;3;mercredi;1;0;15.0;1.0;1.0
26935;112767;3;mercredi;2;0;;;
26936;112767;3;mercredi;3;0;60.0;1.0;2.0
26937;112767;3;mercredi;4;0;;;
26938;112767;3;mercredi;5;0;70.0;1.0;2.0
26939;112767;3;mercredi;6;1;;;
26976;112768;3;jeudi;1;0;25.0;1.0;1.0
26977;112768;3;jeudi;2;0;;;
26978;112768;3;jeudi;3;0;10.0;6.0;1.0
26979;112768;3;jeudi;4;0;;;
26980;112768;3;jeudi;5;0;25.0;1.0;1.0
26981;112768;3;jeudi;6;0;;;
27018;112773;3;mardi;1;0;15.0;1.0;2.0
27019;112773;3;mardi;2;0;;;
27020;112773;3;mardi;3;0;45.0;1.0;2.0
27021;112773;3;mardi;4;0;;;
27022;112773;3;mardi;5;0;30.0;1.0;2.0
27023;112773;3;mardi;6;1;;;
27060;112776;3;vendredi;1;0;15.0;1.0;2.0
27061;112776;3;vendredi;2;1;;;
27062;112776;3;vendredi;3;0;30.0;1.0;2.0
27063;112776;3;vendredi;4;0;;;
27064;112776;3;vendredi;5;0;20.0;1.0;1.0
27065;112776;3;vendredi;6;1;;;
27102;112777;3;samedi;1;0;10.0;1.0;1.0
27103;112777;3;samedi;2;1;;;
27104;112777;3;samedi;3;0;45.0;1.0;2.0
27105;112777;3;samedi;4;1;;;
