;nomen;nojour;nomjour;tyrep;temrep;duree;lieu;avecqui
11736;111479;4;dimanche;1;0;30.0;1.0;1.0
11737;111479;4;dimanche;2;1;;;
11738;111479;4;dimanche;3;0;45.0;1.0;2.0
11739;111479;4;dimanche;4;0;;;
11740;111479;4;dimanche;5;0;30.0;1.0;2.0
11741;111479;4;dimanche;6;1;;;
11778;111496;4;vendredi;1;0;20.0;1.0;1.0
11779;111496;4;vendredi;2;0;;;
11780;111496;4;vendredi;3;0;75.0;5.0;3.0
11781;111496;4;vendredi;4;1;;;
11782;111496;4;vendredi;5;0;40.0;1.0;2.0
11783;111496;4;vendredi;6;0;;;
11820;111500;4;samedi;1;0;10.0;1.0;2.0
11821;111500;4;samedi;2;1;;;
11822;111500;4;samedi;3;0;60.0;3.0;2.0
11823;111500;4;samedi;4;1;;;
11824;111500;4;samedi;5;0;60.0;3.0;2.0
11825;111500;4;samedi;6;0;;;
11946;111514;4;jeudi;1;0;30.0;1.0;2.0
11947;111514;4;jeudi;2;1;;;
11948;111514;4;jeudi;3;0;90.0;1.0;9.0
11949;111514;4;jeudi;4;1;;;
11950;111514;4;jeudi;5;0;;0.0;9.0
11951;111514;4;jeudi;6;1;;;
11988;111516;4;jeudi;1;0;75.0;1.0;1.0
11989;111516;4;jeudi;2;0;;;
11990;111516;4;jeudi;3;0;45.0;1.0;2.0
11991;111516;4;jeudi;4;0;;;
11992;111516;4;jeudi;5;0;45.0;1.0;2.0
11993;111516;4;jeudi;6;0;;;
12030;111517;4;lundi;1;0;10.0;1.0;1.0
12031;111517;4;lundi;2;1;;;
12032;111517;4;lundi;3;0;25.0;1.0;2.0
12033;111517;4;lundi;4;1;;;
12034;111517;4;lundi;5;0;30.0;5.0;2.0
12035;111517;4;lundi;6;1;;;
12072;111527;4;jeudi;1;0;10.0;3.0;1.0
12073;111527;4;jeudi;2;1;;;
12074;111527;4;jeudi;3;0;25.0;3.0;2.0
12075;111527;4;jeudi;4;1;;;
12076;111527;4;jeudi;5;0;30.0;3.0;2.0
12077;111527;4;jeudi;6;1;;;
12114;111531;4;mardi;1;0;20.0;1.0;2.0
12115;111531;4;mardi;2;1;;;
12116;111531;4;mardi;3;0;30.0;1.0;2.0
12117;111531;4;mardi;4;1;;;
12118;111531;4;mardi;5;0;30.0;1.0;2.0
12119;111531;4;mardi;6;1;;;
12156;111538;4;vendredi;1;0;35.0;1.0;1.0
12157;111538;4;vendredi;2;1;;;
12158;111538;4;vendredi;3;0;30.0;1.0;2.0
12159;111538;4;vendredi;4;0;;;
12160;111538;4;vendredi;5;0;40.0;1.0;3.0
12161;111538;4;vendredi;6;1;;;
12198;111539;4;samedi;1;0;30.0;1.0;2.0
12199;111539;4;samedi;2;1;;;
12200;111539;4;samedi;3;0;45.0;3.0;2.0
12201;111539;4;samedi;4;0;;;
12202;111539;4;samedi;5;0;30.0;6.0;4.0
12203;111539;4;samedi;6;0;;;
12240;111540;4;samedi;1;0;15.0;1.0;2.0
12241;111540;4;samedi;2;1;;;
12242;111540;4;samedi;3;0;45.0;1.0;2.0
12243;111540;4;samedi;4;1;;;
12244;111540;4;samedi;5;0;30.0;1.0;2.0
12245;111540;4;samedi;6;1;;;
12282;111541;4;mardi;1;0;20.0;1.0;1.0
12283;111541;4;mardi;2;1;;;
12284;111541;4;mardi;3;0;25.0;1.0;1.0
12285;111541;4;mardi;4;1;;;
12286;111541;4;mardi;5;0;25.0;1.0;1.0
12287;111541;4;mardi;6;1;;;
39288;114974;4;vendredi;1;0;30.0;1.0;1.0
39289;114974;4;vendredi;2;1;;;
39290;114974;4;vendredi;3;0;30.0;1.0;2.0
39291;114974;4;vendredi;4;0;;;
39292;114974;4;vendredi;5;0;45.0;1.0;2.0
39293;114974;4;vendredi;6;0;;;
42396;115273;4;lundi;1;0;15.0;1.0;1.0
42397;115273;4;lundi;2;1;;;
42398;115273;4;lundi;3;0;90.0;1.0;2.0
42399;115273;4;lundi;4;1;;;
42400;115273;4;lundi;5;1;;;
42401;115273;4;lundi;6;0;;;
45798;115547;4;samedi;1;0;2.0;1.0;1.0
45799;115547;4;samedi;2;1;;;
45800;115547;4;samedi;3;0;75.0;5.0;3.0
45801;115547;4;samedi;4;1;;;
45802;115547;4;samedi;5;0;30.0;5.0;3.0
45803;115547;4;samedi;6;1;;;
46050;115566;4;dimanche;1;0;5.0;1.0;1.0
