;nomen;nojour;nomjour;tyrep;temrep;duree;lieu;avecqui
11754;111479;7;mercredi;1;0;30.0;1.0;1.0
11755;111479;7;mercredi;2;1;;;
11756;111479;7;mercredi;3;0;45.0;3.0;2.0
11757;111479;7;mercredi;4;1;;;
11758;111479;7;mercredi;5;0;30.0;1.0;1.0
11759;111479;7;mercredi;6;1;;;
11796;111496;7;lundi;1;0;20.0;1.0;1.0
11797;111496;7;lundi;2;1;;;
11798;111496;7;lundi;3;0;25.0;1.0;2.0
11799;111496;7;lundi;4;1;;;
11800;111496;7;lundi;5;0;90.0;1.0;3.0
11801;111496;7;lundi;6;1;;;
11838;111500;7;mardi;1;0;15.0;1.0;2.0
11839;111500;7;mardi;2;1;;;
11840;111500;7;mardi;3;0;30.0;1.0;2.0
11841;111500;7;mardi;4;1;;;
11842;111500;7;mardi;5;0;45.0;1.0;2.0
11843;111500;7;mardi;6;1;;;
11964;111514;7;dimanche;1;0;30.0;0.0;9.0
11965;111514;7;dimanche;2;1;;;
11966;111514;7;dimanche;3;0;;0.0;9.0
11967;111514;7;dimanche;4;1;;;
11968;111514;7;dimanche;5;1;;;
11969;111514;7;dimanche;6;1;;;
12006;111516;7;dimanche;1;0;25.0;1.0;2.0
12007;111516;7;dimanche;2;1;;;
12008;111516;7;dimanche;3;0;210.0;1.0;2.0
12009;111516;7;dimanche;4;0;;;
12010;111516;7;dimanche;5;0;60.0;1.0;2.0
12011;111516;7;dimanche;6;0;;;
12048;111517;7;jeudi;1;0;10.0;1.0;1.0
12049;111517;7;jeudi;2;0;;;
12050;111517;7;jeudi;3;0;30.0;1.0;2.0
12051;111517;7;jeudi;4;1;;;
12052;111517;7;jeudi;5;0;25.0;1.0;2.0
12053;111517;7;jeudi;6;1;;;
12090;111527;7;dimanche;1;0;15.0;1.0;1.0
12091;111527;7;dimanche;2;1;;;
12092;111527;7;dimanche;3;0;20.0;0.0;2.0
12093;111527;7;dimanche;4;1;;;
12094;111527;7;dimanche;5;0;15.0;0.0;9.0
12095;111527;7;dimanche;6;1;;;
12132;111531;7;vendredi;1;0;20.0;3.0;2.0
12133;111531;7;vendredi;2;1;;;
12134;111531;7;vendredi;3;0;60.0;3.0;2.0
12135;111531;7;vendredi;4;1;;;
12136;111531;7;vendredi;5;0;60.0;3.0;2.0
12137;111531;7;vendredi;6;1;;;
12174;111538;7;lundi;1;0;30.0;1.0;2.0
12175;111538;7;lundi;2;1;;;
12176;111538;7;lundi;3;0;;5.0;3.0
12177;111538;7;lundi;4;0;;;
12178;111538;7;lundi;5;0;25.0;1.0;3.0
12179;111538;7;lundi;6;1;;;
12216;111539;7;mardi;1;0;30.0;1.0;2.0
12217;111539;7;mardi;2;1;;;
12218;111539;7;mardi;3;0;15.0;4.0;1.0
12219;111539;7;mardi;4;0;;;
12220;111539;7;mardi;5;0;40.0;1.0;2.0
12221;111539;7;mardi;6;0;;;
12258;111540;7;mardi;1;0;10.0;1.0;1.0
12259;111540;7;mardi;2;1;;;
12260;111540;7;mardi;3;0;30.0;1.0;2.0
12261;111540;7;mardi;4;1;;;
12262;111540;7;mardi;5;0;30.0;1.0;1.0
12263;111540;7;mardi;6;1;;;
12300;111541;7;vendredi;1;0;15.0;1.0;1.0
12301;111541;7;vendredi;2;1;;;
12302;111541;7;vendredi;3;0;75.0;5.0;4.0
12303;111541;7;vendredi;4;1;;;
12304;111541;7;vendredi;5;0;30.0;1.0;1.0
12305;111541;7;vendredi;6;1;;;
39306;114974;7;lundi;1;0;45.0;1.0;1.0
39307;114974;7;lundi;2;1;;;
39308;114974;7;lundi;3;0;30.0;1.0;2.0
39309;114974;7;lundi;4;0;;;
39310;114974;7;lundi;5;0;;1.0;2.0
39311;114974;7;lundi;6;0;;;
42414;115273;7;jeudi;1;0;15.0;1.0;3.0
42415;115273;7;jeudi;2;1;;;
42416;115273;7;jeudi;3;0;75.0;5.0;3.0
42417;115273;7;jeudi;4;1;;;
42418;115273;7;jeudi;5;1;;;
42419;115273;7;jeudi;6;1;;;
45816;115547;7;mardi;1;0;;1.0;1.0
45817;115547;7;mardi;2;1;;;
45818;115547;7;mardi;3;0;30.0;1.0;1.0
45819;115547;7;mardi;4;1;;;
45820;115547;7;mardi;5;0;30.0;1.0;1.0
45821;115547;7;mardi;6;1;;;
46068;115566;7;mercredi;1;0;10.0;1.0;1.0
46069;115566;7;mercredi;2;0;;;
46070;115566;7;mercredi;3;0;65.0;5.0;3.0
46071;115566;7;mercredi;4;1;;;
46072;115566;7;mercredi;5;0;20.0;1.0;3.0
46073;115566;7;mercredi;6;1;;;
53796;116282;7;dimanche;1;9;;;
53797;116282;7;dimanche;2;9;;;
53798;116282;7;dimanche;3;9;;;
53799;116282;7;dimanche;4;9;;;
53800;116282;7;dimanche;5;9;;;
53801;116282;7;dimanche;6;9;;;
55392;116425;7;jeudi;1;0;30.0;1.0;2.0
55393;116425;7;jeudi;2;1;;;
