;nomen;nojour;nomjour;tyrep;temrep;duree;lieu;avecqui
28374;112935;5;samedi;1;0;30.0;1.0;1.0
28375;112935;5;samedi;2;1;;;
28376;112935;5;samedi;3;1;;;
28377;112935;5;samedi;4;0;;;
28378;112935;5;samedi;5;1;;;
28379;112935;5;samedi;6;1;;;
28416;112936;5;dimanche;1;0;10.0;1.0;1.0
28417;112936;5;dimanche;2;0;;;
28418;112936;5;dimanche;3;0;35.0;0.0;9.0
28419;112936;5;dimanche;4;0;;;
28420;112936;5;dimanche;5;0;25.0;1.0;2.0
28421;112936;5;dimanche;6;0;;;
28458;112937;5;vendredi;1;0;;6.0;1.0
28459;112937;5;vendredi;2;1;;;
28460;112937;5;vendredi;3;0;;0.0;9.0
28461;112937;5;vendredi;4;0;;;
28462;112937;5;vendredi;5;0;45.0;1.0;2.0
28463;112937;5;vendredi;6;0;;;
28500;112943;5;lundi;1;0;;1.0;1.0
28501;112943;5;lundi;2;1;;;
28502;112943;5;lundi;3;0;30.0;1.0;2.0
28503;112943;5;lundi;4;0;;;
28504;112943;5;lundi;5;0;30.0;1.0;2.0
28505;112943;5;lundi;6;0;;;
28542;112944;5;samedi;1;0;15.0;1.0;2.0
28543;112944;5;samedi;2;0;;;
28544;112944;5;samedi;3;0;;1.0;9.0
28545;112944;5;samedi;4;0;;;
28546;112944;5;samedi;5;0;225.0;3.0;2.0
28547;112944;5;samedi;6;1;;;
28584;112946;5;vendredi;1;0;30.0;1.0;2.0
28585;112946;5;vendredi;2;0;;;
28586;112946;5;vendredi;3;0;30.0;5.0;1.0
28587;112946;5;vendredi;4;0;;;
28588;112946;5;vendredi;5;0;30.0;1.0;2.0
28589;112946;5;vendredi;6;1;;;
28626;112948;5;dimanche;1;0;13.0;1.0;1.0
28627;112948;5;dimanche;2;1;;;
28628;112948;5;dimanche;3;0;23.0;1.0;2.0
28629;112948;5;dimanche;4;0;;;
28630;112948;5;dimanche;5;0;20.0;1.0;1.0
28631;112948;5;dimanche;6;1;;;
28668;112958;5;dimanche;1;0;15.0;1.0;1.0
28669;112958;5;dimanche;2;0;;;
28670;112958;5;dimanche;3;0;45.0;1.0;2.0
28671;112958;5;dimanche;4;0;;;
28672;112958;5;dimanche;5;0;30.0;1.0;2.0
28673;112958;5;dimanche;6;1;;;
28710;112960;5;mercredi;1;0;20.0;1.0;2.0
28711;112960;5;mercredi;2;0;;;
28712;112960;5;mercredi;3;0;50.0;6.0;3.0
28713;112960;5;mercredi;4;0;;;
28714;112960;5;mercredi;5;0;45.0;1.0;2.0
28715;112960;5;mercredi;6;1;;;
28752;112969;5;mardi;1;0;;5.0;4.0
28753;112969;5;mardi;2;0;;;
28754;112969;5;mardi;3;0;60.0;5.0;4.0
28755;112969;5;mardi;4;0;;;
28756;112969;5;mardi;5;0;40.0;1.0;2.0
28757;112969;5;mardi;6;1;;;
28794;112972;5;samedi;1;0;30.0;3.0;2.0
28795;112972;5;samedi;2;1;;;
28796;112972;5;samedi;3;0;30.0;3.0;2.0
28797;112972;5;samedi;4;0;;;
28798;112972;5;samedi;5;0;;3.0;2.0
28799;112972;5;samedi;6;1;;;
28836;112974;5;vendredi;1;0;25.0;1.0;1.0
28837;112974;5;vendredi;2;0;;;
28838;112974;5;vendredi;3;1;;;
28839;112974;5;vendredi;4;0;;;
28840;112974;5;vendredi;5;1;;;
28841;112974;5;vendredi;6;1;;;
28878;112976;5;lundi;1;0;15.0;1.0;1.0
28879;112976;5;lundi;2;0;;;
28880;112976;5;lundi;3;0;30.0;1.0;1.0
28881;112976;5;lundi;4;1;;;
28882;112976;5;lundi;5;0;15.0;1.0;1.0
28883;112976;5;lundi;6;1;;;
28920;112982;5;lundi;1;0;15.0;1.0;1.0
28921;112982;5;lundi;2;0;;;
28922;112982;5;lundi;3;0;45.0;5.0;1.0
28923;112982;5;lundi;4;0;;;
28924;112982;5;lundi;5;0;45.0;1.0;2.0
28925;112982;5;lundi;6;0;;;
28962;112989;5;samedi;1;0;20.0;1.0;1.0
28963;112989;5;samedi;2;1;;;
28964;112989;5;samedi;3;0;20.0;1.0;1.0
28965;112989;5;samedi;4;0;;;
28966;112989;5;samedi;5;1;;;
28967;112989;5;samedi;6;0;;;
29004;112994;5;samedi;1;0;5.0;1.0;1.0
29005;112994;5;samedi;2;1;;;
29006;112994;5;samedi;3;0;30.0;1.0;2.0
29007;112994;5;samedi;4;1;;;
29008;112994;5;samedi;5;0;30.0;1.0;2.0
29009;112994;5;samedi;6;1;;;
29046;112995;5;mardi;1;0;15.0;1.0;1.0
29047;112995;5;mardi;2;0;;;
29048;112995;5;mardi;3;0;;1.0;1.0
29049;112995;5;mardi;4;0;;;
29050;112995;5;mardi;5;0;30.0;1.0;1.0
29051;112995;5;mardi;6;0;;;
29088;112999;5;vendredi;1;1;;;
29089;112999;5;vendredi;2;0;;;
29090;112999;5;vendredi;3;1;;;
29091;112999;5;vendredi;4;0;;;
29092;112999;5;vendredi;5;0;;1.0;9.0
29093;112999;5;vendredi;6;1;;;
29130;113005;5;mardi;1;0;15.0;1.0;2.0
29131;113005;5;mardi;2;1;;;
29132;113005;5;mardi;3;0;60.0;5.0;2.0
29133;113005;5;mardi;4;1;;;
29134;113005;5;mardi;5;0;20.0;1.0;2.0
29135;113005;5;mardi;6;1;;;
29172;113007;5;lundi;1;0;15.0;1.0;1.0
29173;113007;5;lundi;2;0;;;
29174;113007;5;lundi;3;0;60.0;1.0;1.0
29175;113007;5;lundi;4;1;;;
29176;113007;5;lundi;5;0;30.0;1.0;2.0
29177;113007;5;lundi;6;1;;;
29214;113008;5;samedi;1;0;15.0;1.0;1.0
29215;113008;5;samedi;2;0;;;
29216;113008;5;samedi;3;0;45.0;1.0;2.0
29217;113008;5;samedi;4;0;;;
29218;113008;5;samedi;5;0;150.0;1.0;3.0
29219;113008;5;samedi;6;0;;;
29256;113009;5;mercredi;1;0;15.0;1.0;2.0
29257;113009;5;mercredi;2;0;;;
29258;113009;5;mercredi;3;0;35.0;3.0;2.0
29259;113009;5;mercredi;4;0;;;
29260;113009;5;mercredi;5;0;45.0;1.0;2.0
29261;113009;5;mercredi;6;0;;;
29298;113011;5;samedi;1;0;15.0;1.0;1.0
29299;113011;5;samedi;2;1;;;
29300;113011;5;samedi;3;0;75.0;5.0;3.0
29301;113011;5;samedi;4;0;;;
29302;113011;5;samedi;5;0;30.0;1.0;2.0
29303;113011;5;samedi;6;0;;;
29340;113014;5;lundi;1;0;15.0;1.0;1.0
29341;113014;5;lundi;2;0;;;
29342;113014;5;lundi;3;0;45.0;3.0;3.0
29343;113014;5;lundi;4;0;;;
29344;113014;5;lundi;5;0;30.0;1.0;1.0
29345;113014;5;lundi;6;0;;;
29382;113020;5;mardi;1;0;30.0;3.0;2.0
29383;113020;5;mardi;2;1;;;
29384;113020;5;mardi;3;0;30.0;3.0;2.0
29385;113020;5;mardi;4;1;;;
29386;113020;5;mardi;5;0;90.0;3.0;2.0
29387;113020;5;mardi;6;1;;;
29424;113021;5;vendredi;1;0;20.0;1.0;1.0
29425;113021;5;vendredi;2;0;;;
29426;113021;5;vendredi;3;0;30.0;2.0;4.0
29427;113021;5;vendredi;4;0;;;
29428;113021;5;vendredi;5;0;30.0;1.0;2.0
29429;113021;5;vendredi;6;1;;;
29466;113026;5;samedi;1;0;15.0;1.0;1.0
29467;113026;5;samedi;2;0;;;
29468;113026;5;samedi;3;1;;;
29469;113026;5;samedi;4;1;;;
29470;113026;5;samedi;5;0;30.0;1.0;1.0
29471;113026;5;samedi;6;0;;;
29508;113032;5;mardi;1;0;15.0;1.0;1.0
29509;113032;5;mardi;2;0;;;
29510;113032;5;mardi;3;0;30.0;1.0;1.0
29511;113032;5;mardi;4;0;;;
29512;113032;5;mardi;5;0;30.0;1.0;2.0
29513;113032;5;mardi;6;0;;;
29550;113036;5;dimanche;1;0;15.0;1.0;2.0
29551;113036;5;dimanche;2;0;;;
29552;113036;5;dimanche;3;0;60.0;1.0;2.0
29553;113036;5;dimanche;4;0;;;
29554;113036;5;dimanche;5;0;60.0;1.0;2.0
29555;113036;5;dimanche;6;1;;;
29592;113037;5;mardi;1;0;35.0;3.0;3.0
29593;113037;5;mardi;2;1;;;
29594;113037;5;mardi;3;0;28.0;3.0;3.0
29595;113037;5;mardi;4;0;;;
29596;113037;5;mardi;5;0;25.0;1.0;2.0
29597;113037;5;mardi;6;1;;;
29634;113040;5;vendredi;1;0;10.0;1.0;1.0
29635;113040;5;vendredi;2;1;;;
29636;113040;5;vendredi;3;0;30.0;1.0;2.0
29637;113040;5;vendredi;4;1;;;
29638;113040;5;vendredi;5;0;30.0;1.0;2.0
29639;113040;5;vendredi;6;1;;;
29676;113041;5;mardi;1;0;10.0;1.0;2.0
29677;113041;5;mardi;2;1;;;
29678;113041;5;mardi;3;0;30.0;1.0;2.0
29679;113041;5;mardi;4;0;;;
29680;113041;5;mardi;5;0;30.0;1.0;2.0
29681;113041;5;mardi;6;1;;;
29718;113067;5;mercredi;1;0;30.0;1.0;1.0
29719;113067;5;mercredi;2;1;;;
29720;113067;5;mercredi;3;0;50.0;1.0;2.0
29721;113067;5;mercredi;4;0;;;
29722;113067;5;mercredi;5;0;75.0;1.0;2.0
29723;113067;5;mercredi;6;0;;;
29760;113072;5;mardi;1;0;10.0;1.0;2.0
29761;113072;5;mardi;2;0;;;
29762;113072;5;mardi;3;0;30.0;1.0;2.0
29763;113072;5;mardi;4;0;;;
29764;113072;5;mardi;5;0;30.0;1.0;2.0
29765;113072;5;mardi;6;0;;;
29802;113073;5;lundi;1;0;15.0;1.0;1.0
29803;113073;5;lundi;2;0;;;
29804;113073;5;lundi;3;0;20.0;6.0;1.0
29805;113073;5;lundi;4;0;;;
29806;113073;5;lundi;5;0;25.0;1.0;2.0
29807;113073;5;lundi;6;0;;;
29844;113079;5;mardi;1;0;15.0;0.0;9.0
29845;113079;5;mardi;2;1;;;
29846;113079;5;mardi;3;0;30.0;1.0;1.0
29847;113079;5;mardi;4;1;;;
29848;113079;5;mardi;5;0;30.0;1.0;1.0
29849;113079;5;mardi;6;1;;;
29886;113085;5;dimanche;1;0;25.0;0.0;9.0
29887;113085;5;dimanche;2;0;;;
29888;113085;5;dimanche;3;0;20.0;0.0;9.0
29889;113085;5;dimanche;4;0;;;
29890;113085;5;dimanche;5;0;45.0;0.0;9.0
29891;113085;5;dimanche;6;1;;;
29928;113095;5;mardi;1;0;30.0;1.0;2.0
29929;113095;5;mardi;2;0;;;
29930;113095;5;mardi;3;0;60.0;1.0;2.0
29931;113095;5;mardi;4;0;;;
29932;113095;5;mardi;5;0;30.0;1.0;2.0
29933;113095;5;mardi;6;0;;;
29970;113096;5;jeudi;1;0;30.0;1.0;2.0
29971;113096;5;jeudi;2;1;;;
29972;113096;5;jeudi;3;0;30.0;1.0;2.0
29973;113096;5;jeudi;4;1;;;
29974;113096;5;jeudi;5;0;30.0;1.0;2.0
29975;113096;5;jeudi;6;1;;;
30012;113098;5;lundi;1;0;20.0;0.0;9.0
30013;113098;5;lundi;2;0;;;
30014;113098;5;lundi;3;0;45.0;6.0;3.0
30015;113098;5;lundi;4;1;;;
30016;113098;5;lundi;5;0;50.0;1.0;2.0
30017;113098;5;lundi;6;1;;;
30054;113109;5;mercredi;1;0;22.0;2.0;1.0
30055;113109;5;mercredi;2;1;;;
30056;113109;5;mercredi;3;0;22.0;2.0;1.0
30057;113109;5;mercredi;4;0;;;
30058;113109;5;mercredi;5;0;25.0;1.0;2.0
30059;113109;5;mercredi;6;1;;;
30096;113111;5;lundi;1;0;;0.0;9.0
30097;113111;5;lundi;2;0;;;
30098;113111;5;lundi;3;0;;1.0;9.0
30099;113111;5;lundi;4;0;;;
30100;113111;5;lundi;5;0;;0.0;9.0
30101;113111;5;lundi;6;0;;;
30138;113112;5;dimanche;1;0;30.0;1.0;1.0
30139;113112;5;dimanche;2;1;;;
30140;113112;5;dimanche;3;0;50.0;1.0;1.0
30141;113112;5;dimanche;4;0;;;
30142;113112;5;dimanche;5;0;60.0;1.0;1.0
30143;113112;5;dimanche;6;1;;;
30180;113126;5;mercredi;1;1;;;
30181;113126;5;mercredi;2;1;;;
30182;113126;5;mercredi;3;0;20.0;1.0;1.0
30183;113126;5;mercredi;4;0;;;
30184;113126;5;mercredi;5;1;;;
30185;113126;5;mercredi;6;0;;;
30222;113128;5;mercredi;1;0;15.0;1.0;2.0
30223;113128;5;mercredi;2;0;;;
30224;113128;5;mercredi;3;0;;1.0;2.0
30225;113128;5;mercredi;4;0;;;
30226;113128;5;mercredi;5;0;15.0;1.0;2.0
30227;113128;5;mercredi;6;1;;;
30264;113133;5;mercredi;1;0;10.0;1.0;1.0
30265;113133;5;mercredi;2;0;;;
30266;113133;5;mercredi;3;0;15.0;1.0;2.0
30267;113133;5;mercredi;4;0;;;
30268;113133;5;mercredi;5;0;10.0;1.0;2.0
30269;113133;5;mercredi;6;1;;;
30306;113144;5;jeudi;1;1;;;
30307;113144;5;jeudi;2;1;;;
30308;113144;5;jeudi;3;0;30.0;1.0;1.0
30309;113144;5;jeudi;4;0;;;
30310;113144;5;jeudi;5;0;30.0;1.0;1.0
30311;113144;5;jeudi;6;0;;;
30348;113145;5;mercredi;1;0;15.0;1.0;2.0
30349;113145;5;mercredi;2;1;;;
30350;113145;5;mercredi;3;1;;;
30351;113145;5;mercredi;4;0;;;
30352;113145;5;mercredi;5;1;;;
30353;113145;5;mercredi;6;0;;;
