;reg_code;reg_name;entries_num;indiv_num;mean_qte_brute
0;1;Région Parisienne;4;19;131.25
1;2;Champagne;5;8;170.6
2;3;Picardie;4;7;132.5
3;4;Haute-Normandie;3;2;100.0
4;5;Centre;5;7;105.0
5;6;Basse-Normandie;7;7;156.428571429
6;7;Bourgogne;1;3;100.0
7;8;Nord;4;10;80.0
8;9;Lorraine;8;8;167.875
9;10;Alsace;0;3;
10;11;Franche Comté;0;1;
11;12;Pays de la Loire;5;9;123.4
12;13;Bretagne;13;15;155.384615385
13;14;Poitou Charentes;6;8;175.833333333
14;15;Aquitaine;1;4;150.0
15;16;Midi-Pyrénées;11;8;340.0
16;17;limousin;0;3;
17;18;Rhône-Alpes;8;11;78.5
18;19;Auvergne;2;4;75.0
19;20;Languedoc;2;6;285.0
20;21;Provence Côte d'Azur;2;7;110.0
