;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;140;77;41.1692857143
1;2;Champagne;7;5;50.7142857143
2;3;Picardie;40;12;52.1
3;4;Haute-Normandie;44;21;22.5909090909
4;5;Centre;39;13;41.1282051282
5;6;Basse-Normandie;22;11;25.4909090909
6;7;Bourgogne;11;6;49.0909090909
7;8;Nord;27;11;45.462962963
8;9;Lorraine;41;15;31.512195122
9;10;Alsace;18;5;40.9444444444
10;11;Franche Comté;2;4;23.0
11;12;Pays de la Loire;98;28;38.0795918367
12;13;Bretagne;70;32;36.3785714286
13;14;Poitou Charentes;18;8;29.9444444444
14;15;Aquitaine;60;25;32.4941666667
15;16;Midi-Pyrénées;44;19;40.1363636364
16;17;limousin;3;3;16.0
17;18;Rhône-Alpes;71;43;33.1266197183
18;19;Auvergne;22;9;31.7045454545
19;20;Languedoc;59;25;46.5720338983
20;21;Provence Côte d'Azur;71;24;35.4401408451
