;reg_code;reg_name;entries_num;indiv_num;mean_qte_brute
0;1;Région Parisienne;232;282;117.868534483
1;2;Champagne;39;59;130.08974359
2;3;Picardie;38;69;116.842105263
3;4;Haute-Normandie;40;53;117.625
4;5;Centre;50;90;149.14
5;6;Basse-Normandie;38;50;117.842105263
6;7;Bourgogne;25;36;126.56
7;8;Nord;45;100;128.244444444
8;9;Lorraine;41;80;129.414634146
9;10;Alsace;23;45;123.869565217
10;11;Franche Comté;21;51;117.142857143
11;12;Pays de la Loire;90;100;120.344444444
12;13;Bretagne;82;101;87.506097561
13;14;Poitou Charentes;58;74;106.75862069
14;15;Aquitaine;59;97;100.118644068
15;16;Midi-Pyrénées;61;75;114.819672131
16;17;limousin;10;17;110.5
17;18;Rhône-Alpes;105;145;114.080952381
18;19;Auvergne;21;43;152.619047619
19;20;Languedoc;78;112;115.08974359
20;21;Provence Côte d'Azur;39;96;123.051282051
