;reg_code;reg_name;entries_num;indiv_num;mean_qte_brute
0;1;Région Parisienne;3739;601;10.1057769457
1;2;Champagne;703;129;10.3428165007
2;3;Picardie;888;148;9.68524774775
3;4;Haute-Normandie;974;132;9.75051334702
4;5;Centre;1373;203;9.9097596504
5;6;Basse-Normandie;1144;136;10.1241258741
6;7;Bourgogne;373;68;8.78284182306
7;8;Nord;1149;227;10.6758050479
8;9;Lorraine;856;194;10.5759345794
9;10;Alsace;497;119;10.5774647887
10;11;Franche Comté;854;131;9.93735362998
11;12;Pays de la Loire;1862;225;10.070622986
12;13;Bretagne;1886;220;11.5080858961
13;14;Poitou Charentes;1070;164;9.39345794393
14;15;Aquitaine;1292;244;11.0367647059
15;16;Midi-Pyrénées;796;153;10.1381909548
16;17;limousin;247;44;9.73279352227
17;18;Rhône-Alpes;2003;343;10.183574638
18;19;Auvergne;649;117;9.74422187982
19;20;Languedoc;1291;254;10.6189000775
20;21;Provence Côte d'Azur;1328;227;10.327560241
