;reg_code;reg_name;entries_num;indiv_num;mean_qte_brute
0;1;Région Parisienne;923;601;60.1828277356
1;2;Champagne;171;129;57.2660818713
2;3;Picardie;305;148;61.1606557377
3;4;Haute-Normandie;215;132;61.7441860465
4;5;Centre;322;203;56.6583850932
5;6;Basse-Normandie;208;136;59.53125
6;7;Bourgogne;124;68;61.6935483871
7;8;Nord;332;227;63.6515060241
8;9;Lorraine;285;194;62.8340701754
9;10;Alsace;184;119;62.0027173913
10;11;Franche Comté;194;131;55.7731958763
11;12;Pays de la Loire;442;225;59.3161764706
12;13;Bretagne;407;220;53.8923832924
13;14;Poitou Charentes;277;164;61.3989169675
14;15;Aquitaine;310;244;58.4032258065
15;16;Midi-Pyrénées;233;153;58.4903433476
16;17;limousin;99;44;65.9545454545
17;18;Rhône-Alpes;509;343;63.0879174853
18;19;Auvergne;156;117;59.4631410256
19;20;Languedoc;446;254;61.6804932735
20;21;Provence Côte d'Azur;269;227;63.1394052045
