;reg_code;reg_name;entries_num;indiv_num;mean_qte_brute
0;1;Région Parisienne;498;601;160.764056225
1;2;Champagne;93;129;148.311827957
2;3;Picardie;122;148;164.946721311
3;4;Haute-Normandie;94;132;164.031914894
4;5;Centre;128;203;153.35546875
5;6;Basse-Normandie;100;136;133.345
6;7;Bourgogne;51;68;171.549019608
7;8;Nord;197;227;171.758883249
8;9;Lorraine;158;194;157.556962025
9;10;Alsace;105;119;177.857142857
10;11;Franche Comté;75;131;153.206666667
11;12;Pays de la Loire;134;225;137.51119403
12;13;Bretagne;139;220;130.643884892
13;14;Poitou Charentes;90;164;148.544444444
14;15;Aquitaine;116;244;165.034482759
15;16;Midi-Pyrénées;84;153;136.130952381
16;17;limousin;18;44;154.916666667
17;18;Rhône-Alpes;234;343;155.442307692
18;19;Auvergne;86;117;161.61627907
19;20;Languedoc;204;254;162.019607843
20;21;Provence Côte d'Azur;139;227;153.883093525
