;reg_code;reg_name;entries_num;indiv_num;mean_qte_brute
0;1;Région Parisienne;515;601;183.730097087
1;2;Champagne;106;129;151.047169811
2;3;Picardie;135;148;144.444444444
3;4;Haute-Normandie;110;132;139.527272727
4;5;Centre;209;203;154.784688995
5;6;Basse-Normandie;124;136;154.758064516
6;7;Bourgogne;63;68;154.333333333
7;8;Nord;174;227;161.165229885
8;9;Lorraine;184;194;183.309782609
9;10;Alsace;130;119;231.761538462
10;11;Franche Comté;124;131;177.508064516
11;12;Pays de la Loire;214;225;149.042056075
12;13;Bretagne;200;220;160.74
13;14;Poitou Charentes;153;164;133.055555556
14;15;Aquitaine;218;244;143.880733945
15;16;Midi-Pyrénées;136;153;151.011029412
16;17;limousin;46;44;113.543478261
17;18;Rhône-Alpes;362;343;162.581491713
18;19;Auvergne;115;117;139.617391304
19;20;Languedoc;298;254;154.795302013
20;21;Provence Côte d'Azur;238;227;149.348739496
