;reg_code;reg_name;entries_num;indiv_num;mean_qte_brute
0;1;Région Parisienne;390;319;45.5743589744
1;2;Champagne;62;70;44.6370967742
2;3;Picardie;43;79;37.3255813953
3;4;Haute-Normandie;63;79;43.253968254
4;5;Centre;128;113;44.9375
5;6;Basse-Normandie;99;86;41.3636363636
6;7;Bourgogne;18;32;55.5555555556
7;8;Nord;146;127;44.7671232877
8;9;Lorraine;117;114;47.0641025641
9;10;Alsace;89;74;44.3258426966
10;11;Franche Comté;96;80;35.0
11;12;Pays de la Loire;118;125;53.6440677966
12;13;Bretagne;131;119;48.893129771
13;14;Poitou Charentes;69;90;47.6811594203
14;15;Aquitaine;150;147;42.4833333333
15;16;Midi-Pyrénées;61;78;43.8524590164
16;17;limousin;44;27;34.3181818182
17;18;Rhône-Alpes;205;198;50.9170731707
18;19;Auvergne;77;74;44.3733766234
19;20;Languedoc;132;142;52.6818181818
20;21;Provence Côte d'Azur;196;131;39.262755102
