;reg_code;reg_name;entries_num;indiv_num;mean_qte_brute
0;1;Région Parisienne;2094;282;14.1384909265
1;2;Champagne;452;59;14.2157522124
2;3;Picardie;478;69;13.6087866109
3;4;Haute-Normandie;366;53;10.8989071038
4;5;Centre;766;90;12.4918407311
5;6;Basse-Normandie;470;50;12.1989361702
6;7;Bourgogne;223;36;16.2102242152
7;8;Nord;602;100;12.8632890365
8;9;Lorraine;841;80;16.0237812128
9;10;Alsace;310;45;13.7951612903
10;11;Franche Comté;355;51;14.7478873239
11;12;Pays de la Loire;925;100;13.3672756757
12;13;Bretagne;853;101;14.5847596717
13;14;Poitou Charentes;660;74;13.7670454545
14;15;Aquitaine;853;97;12.8766119578
15;16;Midi-Pyrénées;593;75;15.7866779089
16;17;limousin;113;17;11.6482300885
17;18;Rhône-Alpes;1228;145;14.7807410423
18;19;Auvergne;327;43;12.744648318
19;20;Languedoc;999;112;11.5396896897
20;21;Provence Côte d'Azur;849;96;13.0924381625
