;reg_code;reg_name;entries_num;indiv_num;mean_qte_brute
0;1;Région Parisienne;698;319;176.577722063
1;2;Champagne;193;70;186.142487047
2;3;Picardie;191;79;175.573298429
3;4;Haute-Normandie;158;79;187.022151899
4;5;Centre;262;113;167.282824427
5;6;Basse-Normandie;181;86;181.889502762
6;7;Bourgogne;89;32;159.011235955
7;8;Nord;301;127;193.533222591
8;9;Lorraine;280;114;188.9625
9;10;Alsace;177;74;173.406779661
10;11;Franche Comté;196;80;175.533163265
11;12;Pays de la Loire;290;125;172.006896552
12;13;Bretagne;246;119;166.741869919
13;14;Poitou Charentes;185;90;176.933783784
14;15;Aquitaine;366;147;181.415300546
15;16;Midi-Pyrénées;154;78;163.441558442
16;17;limousin;83;27;182.15060241
17;18;Rhône-Alpes;467;198;179.379014989
18;19;Auvergne;190;74;169.639473684
19;20;Languedoc;341;142;191.948680352
20;21;Provence Côte d'Azur;352;131;184.099431818
