;reg_code;reg_name;entries_num;indiv_num;mean_qte_brute
0;1;Région Parisienne;406;319;118.778325123
1;2;Champagne;90;70;127.008333333
2;3;Picardie;101;79;122.242574257
3;4;Haute-Normandie;127;79;117.614173228
4;5;Centre;179;113;123.551675978
5;6;Basse-Normandie;142;86;113.563380282
6;7;Bourgogne;54;32;111.018518519
7;8;Nord;143;127;128.524475524
8;9;Lorraine;152;114;112.881578947
9;10;Alsace;92;74;125.326086957
10;11;Franche Comté;68;80;130.441176471
11;12;Pays de la Loire;212;125;118.509433962
12;13;Bretagne;154;119;118.584415584
13;14;Poitou Charentes;166;90;124.518072289
14;15;Aquitaine;241;147;121.788381743
15;16;Midi-Pyrénées;138;78;137.152173913
16;17;limousin;55;27;117.363636364
17;18;Rhône-Alpes;227;198;115.691629956
18;19;Auvergne;85;74;119.152941176
19;20;Languedoc;143;142;114.881118881
20;21;Provence Côte d'Azur;190;131;126.907894737
