;reg_code;reg_name;entries_num;indiv_num;mean_qte_brute
0;1;Région Parisienne;8211;601;299.370052369
1;2;Champagne;1999;129;294.949974987
2;3;Picardie;2244;148;300.337789661
3;4;Haute-Normandie;1909;132;310.59848088
4;5;Centre;2977;203;313.802653678
5;6;Basse-Normandie;2198;136;358.355323021
6;7;Bourgogne;917;68;278.364231189
7;8;Nord;3108;227;296.939350064
8;9;Lorraine;2988;194;274.874832664
9;10;Alsace;1612;119;325.290012407
10;11;Franche Comté;1964;131;290.124236253
11;12;Pays de la Loire;3542;225;283.092603049
12;13;Bretagne;2952;220;304.25101626
13;14;Poitou Charentes;2760;164;321.165942029
14;15;Aquitaine;3929;244;318.140239247
15;16;Midi-Pyrénées;2507;153;331.69266055
16;17;limousin;706;44;291.869688385
17;18;Rhône-Alpes;5417;343;313.731954957
18;19;Auvergne;1749;117;276.903144654
19;20;Languedoc;3815;254;311.868283093
20;21;Provence Côte d'Azur;3506;227;332.727039361
