;reg_code;reg_name;entries_num;indiv_num;mean_qte_brute
0;1;Région Parisienne;302;601;96.2599337748
1;2;Champagne;87;129;90.408045977
2;3;Picardie;136;148;104.558823529
3;4;Haute-Normandie;72;132;80.2638888889
4;5;Centre;116;203;90.1336206897
5;6;Basse-Normandie;77;136;92.4155844156
6;7;Bourgogne;35;68;91.2285714286
7;8;Nord;111;227;97.3040540541
8;9;Lorraine;118;194;103.81779661
9;10;Alsace;82;119;88.5
10;11;Franche Comté;82;131;86.1585365854
11;12;Pays de la Loire;142;225;82.8169014085
12;13;Bretagne;149;220;93.5436241611
13;14;Poitou Charentes;86;164;92.2674418605
14;15;Aquitaine;150;244;103.47
15;16;Midi-Pyrénées;88;153;80.5795454545
16;17;limousin;34;44;103.529411765
17;18;Rhône-Alpes;197;343;91.4974619289
18;19;Auvergne;42;117;88.7619047619
19;20;Languedoc;170;254;98.1352941176
20;21;Provence Côte d'Azur;143;227;88.1398601399
