;reg_code;reg_name;entries_num;indiv_num;mean_qte_brute
0;1;Région Parisienne;464;319;120.351681034
1;2;Champagne;100;70;120.559
2;3;Picardie;116;79;109.143965517
3;4;Haute-Normandie;133;79;100.968796992
4;5;Centre;156;113;114.238782051
5;6;Basse-Normandie;128;86;109.4484375
6;7;Bourgogne;54;32;98.7333333333
7;8;Nord;147;127;123.553061224
8;9;Lorraine;148;114;115.538513514
9;10;Alsace;101;74;123.729207921
10;11;Franche Comté;103;80;90.9946601942
11;12;Pays de la Loire;176;125;114.317613636
12;13;Bretagne;163;119;104.62392638
13;14;Poitou Charentes;159;90;116.839308176
14;15;Aquitaine;263;147;128.198669202
15;16;Midi-Pyrénées;153;78;105.470588235
16;17;limousin;41;27;104.670731707
17;18;Rhône-Alpes;284;198;112.571126761
18;19;Auvergne;109;74;112.781651376
19;20;Languedoc;209;142;119.382296651
20;21;Provence Côte d'Azur;199;131;124.511557789
