;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;5568;601;84.3900862069
1;2;Champagne;1131;129;83.9358974359
2;3;Picardie;1216;148;79.4239309211
3;4;Haute-Normandie;1167;132;79.8800342759
4;5;Centre;1824;203;80.2549342105
5;6;Basse-Normandie;1318;136;79.251138088
6;7;Bourgogne;553;68;84.8300180832
7;8;Nord;1443;227;81.4788288288
8;9;Lorraine;1776;194;77.8927364865
9;10;Alsace;1044;119;78.5985139022
10;11;Franche Comté;1277;131;85.68128426
11;12;Pays de la Loire;2211;225;82.4384350972
12;13;Bretagne;2001;220;74.5203648176
13;14;Poitou Charentes;1546;164;84.8834087969
14;15;Aquitaine;2394;244;85.2811194653
15;16;Midi-Pyrénées;1567;153;85.5143586471
16;17;limousin;423;44;85.2848699764
17;18;Rhône-Alpes;3441;343;84.0949869224
18;19;Auvergne;1036;117;89.3137065637
19;20;Languedoc;2519;254;84.0778086542
20;21;Provence Côte d'Azur;2233;227;82.3278325123
