;reg_code;reg_name;entries_num;indiv_num;mean_qte_brute
0;1;Région Parisienne;3375;601;155.520562963
1;2;Champagne;713;129;169.093267882
2;3;Picardie;672;148;155.452157738
3;4;Haute-Normandie;707;132;163.674681754
4;5;Centre;1050;203;156.421666667
5;6;Basse-Normandie;791;136;165.332806574
6;7;Bourgogne;296;68;145.902027027
7;8;Nord;902;227;160.333980044
8;9;Lorraine;908;194;164.428964758
9;10;Alsace;479;119;163.465553236
10;11;Franche Comté;731;131;152.177154583
11;12;Pays de la Loire;1396;225;161.828438395
12;13;Bretagne;1587;220;155.433837429
13;14;Poitou Charentes;965;164;159.27253886
14;15;Aquitaine;1436;244;172.495473538
15;16;Midi-Pyrénées;903;153;160.213178295
16;17;limousin;220;44;155.611363636
17;18;Rhône-Alpes;1925;343;161.483766234
18;19;Auvergne;813;117;165.052890529
19;20;Languedoc;1452;254;158.793044077
20;21;Provence Côte d'Azur;1322;227;170.37677761
