;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;459;282;151.424183007
1;2;Champagne;102;59;155.707843137
2;3;Picardie;104;69;158.620192308
3;4;Haute-Normandie;68;53;134.732352941
4;5;Centre;135;90;166.851851852
5;6;Basse-Normandie;79;50;143.386075949
6;7;Bourgogne;53;36;149.745283019
7;8;Nord;123;100;151.268292683
8;9;Lorraine;109;80;167.583944954
9;10;Alsace;76;45;171.138157895
10;11;Franche Comté;101;51;165.979207921
11;12;Pays de la Loire;160;100;128.11375
12;13;Bretagne;188;101;129.13962766
13;14;Poitou Charentes;143;74;150.463636364
14;15;Aquitaine;172;97;156.657267442
15;16;Midi-Pyrénées;155;75;157.743225806
16;17;limousin;32;17;159.9765625
17;18;Rhône-Alpes;209;145;153.155502392
18;19;Auvergne;64;43;145.18203125
19;20;Languedoc;165;112;159.073030303
20;21;Provence Côte d'Azur;145;96;170.030344828
