;reg_code;reg_name;entries_num;indiv_num;mean_qte_brute
0;1;Région Parisienne;1598;601;60.1784480601
1;2;Champagne;488;129;60.4221311475
2;3;Picardie;559;148;56.726744186
3;4;Haute-Normandie;495;132;57.2424242424
4;5;Centre;814;203;59.4889434889
5;6;Basse-Normandie;477;136;56.6341719078
6;7;Bourgogne;238;68;65.012605042
7;8;Nord;798;227;62.2550125313
8;9;Lorraine;705;194;56.1269503546
9;10;Alsace;374;119;61.7887700535
10;11;Franche Comté;393;131;53.4071246819
11;12;Pays de la Loire;934;225;54.1434689507
12;13;Bretagne;857;220;56.0215869312
13;14;Poitou Charentes;695;164;53.1237410072
14;15;Aquitaine;993;244;56.317673716
15;16;Midi-Pyrénées;640;153;58.82421875
16;17;limousin;187;44;55.2780748663
17;18;Rhône-Alpes;1164;343;61.2362542955
18;19;Auvergne;396;117;56.196969697
19;20;Languedoc;885;254;63.8740112994
20;21;Provence Côte d'Azur;725;227;58.5677241379
