;reg_code;reg_name;entries_num;indiv_num;mean_qte_brute
0;1;Région Parisienne;1175;601;39.3374042553
1;2;Champagne;257;129;41.3922178988
2;3;Picardie;321;148;47.3675389408
3;4;Haute-Normandie;286;132;31.9982517483
4;5;Centre;367;203;37.8844686649
5;6;Basse-Normandie;261;136;39.0296551724
6;7;Bourgogne;116;68;35.330862069
7;8;Nord;503;227;38.7883697813
8;9;Lorraine;416;194;35.0456730769
9;10;Alsace;266;119;37.0161654135
10;11;Franche Comté;268;131;36.5564925373
11;12;Pays de la Loire;449;225;36.3826948775
12;13;Bretagne;367;220;32.5790190736
13;14;Poitou Charentes;310;164;39.2096774194
14;15;Aquitaine;463;244;36.7176025918
15;16;Midi-Pyrénées;278;153;39.2960431655
16;17;limousin;96;44;45.9708333333
17;18;Rhône-Alpes;683;343;38.0142606149
18;19;Auvergne;213;117;49.5481220657
19;20;Languedoc;539;254;36.7809833024
20;21;Provence Côte d'Azur;474;227;36.1148734177
