;reg_code;reg_name;entries_num;indiv_num;mean_qte_brute
0;1;Région Parisienne;1092;601;10.1474358974
1;2;Champagne;406;129;11.0714285714
2;3;Picardie;503;148;10.3049701789
3;4;Haute-Normandie;317;132;9.12933753943
4;5;Centre;562;203;10.4733096085
5;6;Basse-Normandie;438;136;11.2739726027
6;7;Bourgogne;142;68;10.8521126761
7;8;Nord;877;227;10.8174458381
8;9;Lorraine;638;194;10.4310344828
9;10;Alsace;219;119;9.16210045662
10;11;Franche Comté;300;131;10.1263333333
11;12;Pays de la Loire;640;225;9.86484375
12;13;Bretagne;467;220;10.2425053533
13;14;Poitou Charentes;453;164;10.055187638
14;15;Aquitaine;376;244;9.90691489362
15;16;Midi-Pyrénées;255;153;10.6745098039
16;17;limousin;68;44;10.3382352941
17;18;Rhône-Alpes;619;343;10.3287560582
18;19;Auvergne;283;117;10.8056537102
19;20;Languedoc;331;254;10.498489426
20;21;Provence Côte d'Azur;284;227;11.9911971831
