;reg_code;reg_name;entries_num;indiv_num;mean_qte_brute
0;1;Région Parisienne;1273;601;25.3926944226
1;2;Champagne;218;129;27.378440367
2;3;Picardie;343;148;29.5102040816
3;4;Haute-Normandie;263;132;24.3121673004
4;5;Centre;382;203;24.3756544503
5;6;Basse-Normandie;236;136;26.268220339
6;7;Bourgogne;126;68;20.4920634921
7;8;Nord;555;227;30.7396396396
8;9;Lorraine;442;194;25.3342760181
9;10;Alsace;221;119;31.6052036199
10;11;Franche Comté;259;131;25.8034749035
11;12;Pays de la Loire;472;225;22.9758474576
12;13;Bretagne;555;220;23.7313513514
13;14;Poitou Charentes;279;164;26.8996415771
14;15;Aquitaine;408;244;26.9056372549
15;16;Midi-Pyrénées;322;153;23.3726708075
16;17;limousin;84;44;26.6130952381
17;18;Rhône-Alpes;678;343;25.5494100295
18;19;Auvergne;219;117;19.3232876712
19;20;Languedoc;437;254;28.9375286041
20;21;Provence Côte d'Azur;311;227;25.5376205788
