;reg_code;reg_name;entries_num;indiv_num;mean_qte_brute
0;1;Région Parisienne;651;282;108.760752688
1;2;Champagne;134;59;130.626865672
2;3;Picardie;145;69;126.982758621
3;4;Haute-Normandie;104;53;103.538461538
4;5;Centre;207;90;119.502415459
5;6;Basse-Normandie;107;50;123.112149533
6;7;Bourgogne;84;36;131.68452381
7;8;Nord;197;100;108.972081218
8;9;Lorraine;188;80;126.537234043
9;10;Alsace;126;45;114.222222222
10;11;Franche Comté;114;51;112.622807018
11;12;Pays de la Loire;286;100;112.088286713
12;13;Bretagne;253;101;114.750988142
13;14;Poitou Charentes;184;74;115.726630435
14;15;Aquitaine;170;97;107.670588235
15;16;Midi-Pyrénées;165;75;118.460606061
16;17;limousin;47;17;107.765957447
17;18;Rhône-Alpes;329;145;108.258358663
18;19;Auvergne;69;43;104.398550725
19;20;Languedoc;224;112;127.822544643
20;21;Provence Côte d'Azur;177;96;113.310734463
