;reg_code;reg_name;entries_num;indiv_num;mean_qte_brute
0;1;Région Parisienne;937;601;159.729989328
1;2;Champagne;188;129;149.478723404
2;3;Picardie;271;148;157.195571956
3;4;Haute-Normandie;232;132;157.122844828
4;5;Centre;299;203;157.043478261
5;6;Basse-Normandie;230;136;158.934782609
6;7;Bourgogne;128;68;163.59375
7;8;Nord;409;227;169.277506112
8;9;Lorraine;363;194;152.217630854
9;10;Alsace;210;119;152.261904762
10;11;Franche Comté;211;131;149.90521327
11;12;Pays de la Loire;349;225;153.667335244
12;13;Bretagne;373;220;137.710455764
13;14;Poitou Charentes;304;164;148.733552632
14;15;Aquitaine;394;244;146.675126904
15;16;Midi-Pyrénées;270;153;141.807407407
16;17;limousin;83;44;149.518072289
17;18;Rhône-Alpes;564;343;170.623670213
18;19;Auvergne;191;117;157.157068063
19;20;Languedoc;414;254;171.062801932
20;21;Provence Côte d'Azur;412;227;163.019417476
