;reg_code;reg_name;entries_num;indiv_num;mean_qte_brute
0;1;Région Parisienne;1677;282;10.4934406679
1;2;Champagne;309;59;11.6666666667
2;3;Picardie;401;69;10.3765586035
3;4;Haute-Normandie;417;53;11.1426858513
4;5;Centre;629;90;10.1844197138
5;6;Basse-Normandie;464;50;10.5409482759
6;7;Bourgogne;208;36;9.33173076923
7;8;Nord;461;100;11.262472885
8;9;Lorraine;371;80;11.2264150943
9;10;Alsace;201;45;11.1243781095
10;11;Franche Comté;357;51;9.91176470588
11;12;Pays de la Loire;813;100;10.6660516605
12;13;Bretagne;925;101;13.2424324324
13;14;Poitou Charentes;439;74;9.75398633257
14;15;Aquitaine;505;97;10.5069306931
15;16;Midi-Pyrénées;462;75;11.1103896104
16;17;limousin;114;17;10.0087719298
17;18;Rhône-Alpes;747;145;11.1900937082
18;19;Auvergne;240;43;10.2479166667
19;20;Languedoc;553;112;11.2016274864
20;21;Provence Côte d'Azur;544;96;10.9301470588
