;reg_code;reg_name;entries_num;indiv_num;mean_qte_brute
0;1;Région Parisienne;1;20;80.0
1;2;Champagne;2;6;120.0
2;3;Picardie;1;9;130.0
3;4;Haute-Normandie;1;4;200.0
4;5;Centre;1;11;105.0
5;6;Basse-Normandie;1;15;80.0
6;7;Bourgogne;0;2;
7;8;Nord;1;11;100.0
8;9;Lorraine;2;10;147.5
9;10;Alsace;0;13;
10;11;Franche Comté;0;4;
11;12;Pays de la Loire;2;11;100.0
12;13;Bretagne;2;15;45.0
13;14;Poitou Charentes;2;11;92.5
14;15;Aquitaine;5;18;88.0
15;16;Midi-Pyrénées;5;13;92.0
16;17;limousin;1;4;25.0
17;18;Rhône-Alpes;3;17;65.0
18;19;Auvergne;5;13;74.0
19;20;Languedoc;0;11;
20;21;Provence Côte d'Azur;1;11;40.0
