;reg_code;reg_name;entries_num;indiv_num;mean_qte_brute
0;1;Région Parisienne;535;601;103.186915888
1;2;Champagne;125;129;92.152
2;3;Picardie;108;148;101.481481481
3;4;Haute-Normandie;134;132;100.723880597
4;5;Centre;189;203;104.576719577
5;6;Basse-Normandie;115;136;98.0956521739
6;7;Bourgogne;60;68;95.8333333333
7;8;Nord;176;227;103.213068182
8;9;Lorraine;120;194;100.458333333
9;10;Alsace;99;119;96.4646464646
10;11;Franche Comté;98;131;93.4693877551
11;12;Pays de la Loire;225;225;89.8973333333
12;13;Bretagne;183;220;92.8415300546
13;14;Poitou Charentes;180;164;102.305555556
14;15;Aquitaine;262;244;97.927480916
15;16;Midi-Pyrénées;152;153;103.796052632
16;17;limousin;37;44;102.702702703
17;18;Rhône-Alpes;320;343;80.55625
18;19;Auvergne;118;117;98.4745762712
19;20;Languedoc;239;254;106.715481172
20;21;Provence Côte d'Azur;222;227;103.027027027
