;reg_code;reg_name;entries_num;indiv_num;mean_qte_brute
0;1;Région Parisienne;3675;282;311.524489796
1;2;Champagne;877;59;316.545039909
2;3;Picardie;1051;69;333.339676499
3;4;Haute-Normandie;770;53;332.597402597
4;5;Centre;1164;90;350.339347079
5;6;Basse-Normandie;670;50;339.040298507
6;7;Bourgogne;486;36;289.259259259
7;8;Nord;1205;100;325.232365145
8;9;Lorraine;1006;80;292.758449304
9;10;Alsace;501;45;316.761477046
10;11;Franche Comté;788;51;303.073604061
11;12;Pays de la Loire;1570;100;276.944585987
12;13;Bretagne;1235;101;312.093117409
13;14;Poitou Charentes;1158;74;329.739205527
14;15;Aquitaine;1499;97;310.411607738
15;16;Midi-Pyrénées;1157;75;320.839239412
16;17;limousin;272;17;334.632352941
17;18;Rhône-Alpes;2240;145;335.689732143
18;19;Auvergne;483;43;323.405797101
19;20;Languedoc;1702;112;339.186251469
20;21;Provence Côte d'Azur;1287;96;343.990675991
