;reg_code;reg_name;entries_num;indiv_num;mean_qte_brute
0;1;Région Parisienne;4536;319;289.522707231
1;2;Champagne;1122;70;278.070409982
2;3;Picardie;1193;79;271.264040235
3;4;Haute-Normandie;1139;79;295.726514486
4;5;Centre;1813;113;290.345008274
5;6;Basse-Normandie;1528;86;366.82460733
6;7;Bourgogne;431;32;266.078886311
7;8;Nord;1903;127;279.023909616
8;9;Lorraine;1982;114;265.797679112
9;10;Alsace;1111;74;329.135913591
10;11;Franche Comté;1176;80;281.447278912
11;12;Pays de la Loire;1972;125;287.987322515
12;13;Bretagne;1717;119;298.610366919
13;14;Poitou Charentes;1602;90;314.968789014
14;15;Aquitaine;2430;147;322.90781893
15;16;Midi-Pyrénées;1350;78;340.994444444
16;17;limousin;434;27;265.069124424
17;18;Rhône-Alpes;3177;198;298.250236072
18;19;Auvergne;1266;74;259.161611374
19;20;Languedoc;2113;142;289.86393753
20;21;Provence Côte d'Azur;2219;131;326.194231636
