;nomen;nojour;nomjour;tyrep;temrep;duree;lieu;avecqui
11406;111451;5;samedi;1;0;20.0;1.0;1.0
11407;111451;5;samedi;2;1;;;
11408;111451;5;samedi;3;0;30.0;1.0;1.0
11409;111451;5;samedi;4;1;;;
11410;111451;5;samedi;5;0;20.0;1.0;1.0
11411;111451;5;samedi;6;1;;;
11448;111454;5;samedi;1;0;30.0;1.0;2.0
11449;111454;5;samedi;2;0;;;
11450;111454;5;samedi;3;0;30.0;1.0;2.0
11451;111454;5;samedi;4;0;;;
11452;111454;5;samedi;5;0;60.0;3.0;3.0
11453;111454;5;samedi;6;1;;;
18294;112104;5;lundi;1;1;;;
18295;112104;5;lundi;2;1;;;
18296;112104;5;lundi;3;0;30.0;1.0;1.0
18297;112104;5;lundi;4;1;;;
18298;112104;5;lundi;5;0;30.0;1.0;2.0
18299;112104;5;lundi;6;0;;;
18336;112111;5;samedi;1;0;15.0;1.0;9.0
18337;112111;5;samedi;2;0;;;
18338;112111;5;samedi;3;0;20.0;1.0;2.0
18339;112111;5;samedi;4;0;;;
18340;112111;5;samedi;5;0;;3.0;3.0
18341;112111;5;samedi;6;1;;;
18378;112113;5;mercredi;1;0;15.0;1.0;1.0
18379;112113;5;mercredi;2;0;;;
18380;112113;5;mercredi;3;0;40.0;2.0;9.0
18381;112113;5;mercredi;4;1;;;
18382;112113;5;mercredi;5;0;30.0;1.0;1.0
18383;112113;5;mercredi;6;1;;;
18420;112115;5;dimanche;1;0;;1.0;1.0
18421;112115;5;dimanche;2;0;;;
18422;112115;5;dimanche;3;0;;1.0;1.0
18423;112115;5;dimanche;4;0;;;
18424;112115;5;dimanche;5;0;;1.0;1.0
18425;112115;5;dimanche;6;1;;;
18462;112117;5;dimanche;1;0;20.0;1.0;1.0
18463;112117;5;dimanche;2;0;;;
18464;112117;5;dimanche;3;0;30.0;1.0;1.0
18465;112117;5;dimanche;4;0;;;
18466;112117;5;dimanche;5;0;30.0;1.0;1.0
18467;112117;5;dimanche;6;1;;;
18504;112128;5;dimanche;1;0;;1.0;2.0
18505;112128;5;dimanche;2;1;;;
18506;112128;5;dimanche;3;0;30.0;1.0;2.0
18507;112128;5;dimanche;4;0;;;
18508;112128;5;dimanche;5;0;30.0;1.0;2.0
18509;112128;5;dimanche;6;1;;;
18546;112130;5;mercredi;1;0;20.0;1.0;1.0
18547;112130;5;mercredi;2;0;;;
18548;112130;5;mercredi;3;0;25.0;1.0;1.0
18549;112130;5;mercredi;4;0;;;
18550;112130;5;mercredi;5;1;;;
18551;112130;5;mercredi;6;1;;;
18588;112131;5;vendredi;1;0;20.0;1.0;2.0
18589;112131;5;vendredi;2;1;;;
18590;112131;5;vendredi;3;0;30.0;1.0;2.0
18591;112131;5;vendredi;4;1;;;
18592;112131;5;vendredi;5;0;30.0;1.0;2.0
18593;112131;5;vendredi;6;1;;;
18630;112135;5;jeudi;1;0;15.0;1.0;2.0
18631;112135;5;jeudi;2;1;;;
18632;112135;5;jeudi;3;0;15.0;5.0;1.0
18633;112135;5;jeudi;4;0;;;
18634;112135;5;jeudi;5;0;20.0;1.0;2.0
18635;112135;5;jeudi;6;1;;;
18672;112136;5;samedi;1;0;20.0;1.0;2.0
18673;112136;5;samedi;2;0;;;
18674;112136;5;samedi;3;0;45.0;1.0;2.0
18675;112136;5;samedi;4;0;;;
18676;112136;5;samedi;5;0;45.0;1.0;2.0
18677;112136;5;samedi;6;1;;;
18714;112140;5;lundi;1;0;15.0;1.0;2.0
18715;112140;5;lundi;2;0;;;
18716;112140;5;lundi;3;0;30.0;1.0;2.0
18717;112140;5;lundi;4;0;;;
18718;112140;5;lundi;5;0;30.0;1.0;2.0
18719;112140;5;lundi;6;1;;;
18756;112144;5;mardi;1;0;30.0;1.0;1.0
18757;112144;5;mardi;2;1;;;
18758;112144;5;mardi;3;0;25.0;1.0;2.0
18759;112144;5;mardi;4;0;;;
18760;112144;5;mardi;5;0;25.0;1.0;2.0
18761;112144;5;mardi;6;1;;;
18798;112145;5;lundi;1;0;15.0;1.0;2.0
18799;112145;5;lundi;2;0;;;
18800;112145;5;lundi;3;0;30.0;1.0;2.0
18801;112145;5;lundi;4;0;;;
18802;112145;5;lundi;5;0;30.0;1.0;2.0
18803;112145;5;lundi;6;0;;;
18840;112148;5;jeudi;1;0;15.0;1.0;1.0
18841;112148;5;jeudi;2;1;;;
18842;112148;5;jeudi;3;0;35.0;1.0;1.0
18843;112148;5;jeudi;4;0;;;
18844;112148;5;jeudi;5;0;30.0;1.0;1.0
18845;112148;5;jeudi;6;0;;;
18882;112154;5;mardi;1;0;20.0;1.0;1.0
18883;112154;5;mardi;2;0;;;
18884;112154;5;mardi;3;0;30.0;1.0;1.0
18885;112154;5;mardi;4;0;;;
18886;112154;5;mardi;5;0;45.0;3.0;3.0
18887;112154;5;mardi;6;0;;;
18924;112156;5;samedi;1;0;20.0;1.0;2.0
18925;112156;5;samedi;2;0;;;
18926;112156;5;samedi;3;0;30.0;1.0;2.0
18927;112156;5;samedi;4;0;;;
18928;112156;5;samedi;5;0;30.0;1.0;2.0
18929;112156;5;samedi;6;0;;;
18966;112161;5;lundi;1;0;10.0;1.0;2.0
18967;112161;5;lundi;2;0;;;
18968;112161;5;lundi;3;0;20.0;1.0;2.0
18969;112161;5;lundi;4;0;;;
18970;112161;5;lundi;5;0;15.0;1.0;2.0
18971;112161;5;lundi;6;1;;;
19008;112164;5;mercredi;1;0;30.0;1.0;1.0
19009;112164;5;mercredi;2;0;;;
19010;112164;5;mercredi;3;0;60.0;1.0;4.0
19011;112164;5;mercredi;4;0;;;
19012;112164;5;mercredi;5;0;60.0;1.0;1.0
19013;112164;5;mercredi;6;0;;;
19050;112166;5;mardi;1;0;10.0;1.0;1.0
19051;112166;5;mardi;2;0;;;
19052;112166;5;mardi;3;0;60.0;5.0;4.0
19053;112166;5;mardi;4;0;;;
19054;112166;5;mardi;5;0;105.0;5.0;4.0
19055;112166;5;mardi;6;1;;;
19092;112171;5;vendredi;1;0;15.0;1.0;1.0
19093;112171;5;vendredi;2;1;;;
19094;112171;5;vendredi;3;0;15.0;2.0;3.0
19095;112171;5;vendredi;4;1;;;
19096;112171;5;vendredi;5;0;45.0;3.0;3.0
19097;112171;5;vendredi;6;1;;;
19134;112177;5;jeudi;1;0;5.0;1.0;1.0
19135;112177;5;jeudi;2;1;;;
19136;112177;5;jeudi;3;0;35.0;1.0;1.0
19137;112177;5;jeudi;4;1;;;
19138;112177;5;jeudi;5;0;45.0;6.0;4.0
19139;112177;5;jeudi;6;0;;;
19176;112181;5;mercredi;1;0;30.0;1.0;1.0
19177;112181;5;mercredi;2;1;;;
19178;112181;5;mercredi;3;0;30.0;1.0;1.0
19179;112181;5;mercredi;4;1;;;
19180;112181;5;mercredi;5;0;30.0;1.0;1.0
19181;112181;5;mercredi;6;0;;;
19218;112190;5;jeudi;1;0;30.0;6.0;1.0
19219;112190;5;jeudi;2;0;;;
19220;112190;5;jeudi;3;0;45.0;6.0;1.0
19221;112190;5;jeudi;4;1;;;
19222;112190;5;jeudi;5;0;30.0;6.0;1.0
19223;112190;5;jeudi;6;1;;;
19260;112191;5;samedi;1;0;15.0;1.0;2.0
19261;112191;5;samedi;2;1;;;
19262;112191;5;samedi;3;0;30.0;1.0;2.0
19263;112191;5;samedi;4;0;;;
19264;112191;5;samedi;5;0;20.0;1.0;2.0
19265;112191;5;samedi;6;1;;;
19302;112198;5;dimanche;1;0;15.0;1.0;2.0
19303;112198;5;dimanche;2;1;;;
19304;112198;5;dimanche;3;0;20.0;1.0;2.0
19305;112198;5;dimanche;4;0;;;
19306;112198;5;dimanche;5;0;30.0;1.0;2.0
19307;112198;5;dimanche;6;0;;;
19344;112201;5;mardi;1;0;20.0;1.0;1.0
19345;112201;5;mardi;2;0;;;
19346;112201;5;mardi;3;0;35.0;2.0;4.0
19347;112201;5;mardi;4;0;;;
19348;112201;5;mardi;5;0;40.0;1.0;1.0
