;nomen;nojour;nomjour;tyrep;temrep;duree;lieu;avecqui
5958;110972;7;mardi;1;0;15.0;1.0;2.0
5959;110972;7;mardi;2;1;;;
5960;110972;7;mardi;3;0;45.0;1.0;2.0
5961;110972;7;mardi;4;1;;;
5962;110972;7;mardi;5;0;45.0;1.0;2.0
5963;110972;7;mardi;6;1;;;
6000;110974;7;mercredi;1;0;20.0;1.0;2.0
6001;110974;7;mercredi;2;1;;;
6002;110974;7;mercredi;3;0;15.0;1.0;1.0
6003;110974;7;mercredi;4;1;;;
6004;110974;7;mercredi;5;0;30.0;1.0;2.0
6005;110974;7;mercredi;6;1;;;
6042;110978;7;mardi;1;0;;1.0;1.0
6043;110978;7;mardi;2;1;;;
6044;110978;7;mardi;3;0;60.0;1.0;2.0
6045;110978;7;mardi;4;0;;;
6046;110978;7;mardi;5;0;30.0;1.0;2.0
6047;110978;7;mardi;6;1;;;
6084;110979;7;mardi;1;0;15.0;1.0;2.0
6085;110979;7;mardi;2;0;;;
6086;110979;7;mardi;3;0;45.0;2.0;4.0
6087;110979;7;mardi;4;0;;;
6088;110979;7;mardi;5;0;33.0;1.0;2.0
6089;110979;7;mardi;6;1;;;
6126;110984;7;dimanche;1;0;15.0;1.0;2.0
6127;110984;7;dimanche;2;1;;;
6128;110984;7;dimanche;3;0;30.0;1.0;2.0
6129;110984;7;dimanche;4;0;;;
6130;110984;7;dimanche;5;0;60.0;6.0;4.0
6131;110984;7;dimanche;6;1;;;
6168;110985;7;jeudi;1;0;10.0;1.0;1.0
6169;110985;7;jeudi;2;1;;;
6170;110985;7;jeudi;3;0;45.0;1.0;2.0
6171;110985;7;jeudi;4;0;;;
6172;110985;7;jeudi;5;0;35.0;1.0;2.0
6173;110985;7;jeudi;6;1;;;
6210;110987;7;mercredi;1;0;15.0;1.0;2.0
6211;110987;7;mercredi;2;1;;;
6212;110987;7;mercredi;3;0;55.0;1.0;2.0
6213;110987;7;mercredi;4;1;;;
6214;110987;7;mercredi;5;0;45.0;1.0;2.0
6215;110987;7;mercredi;6;1;;;
6252;110988;7;samedi;1;0;15.0;3.0;2.0
6253;110988;7;samedi;2;1;;;
6254;110988;7;samedi;3;1;;;
6255;110988;7;samedi;4;1;;;
6256;110988;7;samedi;5;0;240.0;3.0;2.0
6257;110988;7;samedi;6;1;;;
6294;110989;7;vendredi;1;0;60.0;1.0;2.0
6295;110989;7;vendredi;2;1;;;
6296;110989;7;vendredi;3;0;45.0;1.0;2.0
6297;110989;7;vendredi;4;1;;;
6298;110989;7;vendredi;5;0;90.0;1.0;3.0
6299;110989;7;vendredi;6;0;;;
6336;110990;7;mercredi;1;0;;1.0;1.0
6337;110990;7;mercredi;2;0;;;
6338;110990;7;mercredi;3;0;20.0;6.0;4.0
6339;110990;7;mercredi;4;0;;;
6340;110990;7;mercredi;5;0;20.0;1.0;2.0
6341;110990;7;mercredi;6;1;;;
6378;110994;7;jeudi;1;0;15.0;1.0;2.0
6379;110994;7;jeudi;2;1;;;
6380;110994;7;jeudi;3;0;30.0;1.0;2.0
6381;110994;7;jeudi;4;1;;;
6382;110994;7;jeudi;5;0;20.0;1.0;2.0
6383;110994;7;jeudi;6;0;;;
6420;110995;7;vendredi;1;0;20.0;1.0;2.0
6421;110995;7;vendredi;2;1;;;
6422;110995;7;vendredi;3;0;20.0;1.0;2.0
6423;110995;7;vendredi;4;0;;;
6424;110995;7;vendredi;5;0;30.0;1.0;2.0
6425;110995;7;vendredi;6;1;;;
6462;110999;7;mercredi;1;0;15.0;1.0;1.0
6463;110999;7;mercredi;2;0;;;
6464;110999;7;mercredi;3;0;30.0;1.0;2.0
6465;110999;7;mercredi;4;0;;;
6466;110999;7;mercredi;5;0;30.0;1.0;1.0
6467;110999;7;mercredi;6;0;;;
6504;111001;7;mardi;1;0;15.0;1.0;1.0
6505;111001;7;mardi;2;0;;;
6506;111001;7;mardi;3;0;30.0;1.0;2.0
6507;111001;7;mardi;4;1;;;
6508;111001;7;mardi;5;0;30.0;1.0;2.0
6509;111001;7;mardi;6;1;;;
6546;111006;7;lundi;1;0;15.0;1.0;1.0
6547;111006;7;lundi;2;1;;;
6548;111006;7;lundi;3;0;30.0;1.0;2.0
6549;111006;7;lundi;4;1;;;
6550;111006;7;lundi;5;0;25.0;1.0;2.0
6551;111006;7;lundi;6;1;;;
6588;111012;7;mardi;1;1;;;
6589;111012;7;mardi;2;1;;;
6590;111012;7;mardi;3;1;;;
6591;111012;7;mardi;4;1;;;
6592;111012;7;mardi;5;0;15.0;1.0;1.0
6593;111012;7;mardi;6;1;;;
6630;111016;7;dimanche;1;0;15.0;1.0;2.0
6631;111016;7;dimanche;2;0;;;
6632;111016;7;dimanche;3;0;390.0;1.0;2.0
6633;111016;7;dimanche;4;0;;;
6634;111016;7;dimanche;5;1;;;
6635;111016;7;dimanche;6;0;;;
6672;111033;7;samedi;1;0;;1.0;1.0
6673;111033;7;samedi;2;1;;;
6674;111033;7;samedi;3;0;15.0;1.0;1.0
6675;111033;7;samedi;4;1;;;
6676;111033;7;samedi;5;0;15.0;1.0;1.0
6677;111033;7;samedi;6;1;;;
6714;111035;7;samedi;1;0;30.0;1.0;1.0
6715;111035;7;samedi;2;1;;;
6716;111035;7;samedi;3;0;45.0;5.0;2.0
