;nomen;nojour;nomjour;tyrep;temrep;duree;lieu;avecqui
24324;112542;2;dimanche;1;0;15.0;1.0;2.0
24325;112542;2;dimanche;2;0;;;
24326;112542;2;dimanche;3;0;60.0;1.0;2.0
24327;112542;2;dimanche;4;0;;;
24328;112542;2;dimanche;5;0;30.0;1.0;2.0
24329;112542;2;dimanche;6;1;;;
24366;112543;2;jeudi;1;0;30.0;1.0;2.0
24367;112543;2;jeudi;2;1;;;
24368;112543;2;jeudi;3;0;45.0;1.0;1.0
24369;112543;2;jeudi;4;1;;;
24370;112543;2;jeudi;5;0;45.0;1.0;2.0
24371;112543;2;jeudi;6;1;;;
24408;112546;2;mercredi;1;0;30.0;1.0;1.0
24409;112546;2;mercredi;2;1;;;
24410;112546;2;mercredi;3;0;30.0;1.0;1.0
24411;112546;2;mercredi;4;1;;;
24412;112546;2;mercredi;5;0;30.0;1.0;1.0
24413;112546;2;mercredi;6;1;;;
24450;112548;2;mardi;1;0;;1.0;2.0
24451;112548;2;mardi;2;1;;;
24452;112548;2;mardi;3;0;;1.0;2.0
24453;112548;2;mardi;4;1;;;
24454;112548;2;mardi;5;0;;1.0;2.0
24455;112548;2;mardi;6;1;;;
24492;112550;2;vendredi;1;9;;;
24493;112550;2;vendredi;2;1;;;
24494;112550;2;vendredi;3;0;30.0;6.0;4.0
24495;112550;2;vendredi;4;1;;;
24496;112550;2;vendredi;5;0;30.0;1.0;2.0
24497;112550;2;vendredi;6;1;;;
24534;112553;2;samedi;1;0;15.0;1.0;1.0
24535;112553;2;samedi;2;0;;;
24536;112553;2;samedi;3;0;45.0;1.0;2.0
24537;112553;2;samedi;4;0;;;
24538;112553;2;samedi;5;0;45.0;1.0;2.0
24539;112553;2;samedi;6;1;;;
24576;112557;2;mardi;1;0;15.0;1.0;2.0
24577;112557;2;mardi;2;1;;;
24578;112557;2;mardi;3;0;35.0;1.0;2.0
24579;112557;2;mardi;4;0;;;
24580;112557;2;mardi;5;0;30.0;1.0;2.0
24581;112557;2;mardi;6;0;;;
24618;112558;2;jeudi;1;0;15.0;1.0;1.0
24619;112558;2;jeudi;2;0;;;
24620;112558;2;jeudi;3;0;40.0;3.0;2.0
24621;112558;2;jeudi;4;0;;;
24622;112558;2;jeudi;5;0;30.0;1.0;2.0
24623;112558;2;jeudi;6;1;;;
24660;112567;2;dimanche;1;0;15.0;1.0;2.0
24661;112567;2;dimanche;2;1;;;
24662;112567;2;dimanche;3;0;60.0;1.0;2.0
24663;112567;2;dimanche;4;1;;;
24664;112567;2;dimanche;5;0;60.0;1.0;3.0
24665;112567;2;dimanche;6;1;;;
24702;112570;2;mercredi;1;0;30.0;1.0;1.0
24703;112570;2;mercredi;2;0;;;
24704;112570;2;mercredi;3;0;30.0;1.0;1.0
24705;112570;2;mercredi;4;1;;;
24706;112570;2;mercredi;5;0;30.0;1.0;1.0
24707;112570;2;mercredi;6;1;;;
24744;112574;2;jeudi;1;0;30.0;1.0;2.0
24745;112574;2;jeudi;2;0;;;
24746;112574;2;jeudi;3;0;60.0;1.0;2.0
24747;112574;2;jeudi;4;0;;;
24748;112574;2;jeudi;5;0;60.0;1.0;2.0
24749;112574;2;jeudi;6;1;;;
24786;112577;2;lundi;1;0;15.0;1.0;1.0
24787;112577;2;lundi;2;1;;;
24788;112577;2;lundi;3;0;60.0;1.0;1.0
24789;112577;2;lundi;4;1;;;
24790;112577;2;lundi;5;0;60.0;1.0;1.0
24791;112577;2;lundi;6;1;;;
24828;112578;2;samedi;1;0;30.0;1.0;2.0
24829;112578;2;samedi;2;1;;;
24830;112578;2;samedi;3;0;180.0;5.0;4.0
24831;112578;2;samedi;4;1;;;
24832;112578;2;samedi;5;0;30.0;1.0;2.0
24833;112578;2;samedi;6;1;;;
24870;112579;2;samedi;1;0;10.0;6.0;1.0
24871;112579;2;samedi;2;1;;;
24872;112579;2;samedi;3;0;90.0;5.0;2.0
24873;112579;2;samedi;4;0;;;
24874;112579;2;samedi;5;0;120.0;5.0;2.0
24875;112579;2;samedi;6;0;;;
24912;112590;2;vendredi;1;0;20.0;1.0;1.0
24913;112590;2;vendredi;2;1;;;
24914;112590;2;vendredi;3;0;20.0;1.0;2.0
24915;112590;2;vendredi;4;1;;;
24916;112590;2;vendredi;5;0;30.0;1.0;2.0
24917;112590;2;vendredi;6;0;;;
24954;112594;2;vendredi;1;0;;1.0;1.0
24955;112594;2;vendredi;2;0;;;
24956;112594;2;vendredi;3;0;45.0;1.0;2.0
24957;112594;2;vendredi;4;0;;;
24958;112594;2;vendredi;5;0;20.0;1.0;1.0
24959;112594;2;vendredi;6;1;;;
24996;112597;2;jeudi;1;0;30.0;1.0;2.0
24997;112597;2;jeudi;2;1;;;
24998;112597;2;jeudi;3;0;45.0;1.0;2.0
24999;112597;2;jeudi;4;0;;;
25000;112597;2;jeudi;5;0;45.0;1.0;2.0
25001;112597;2;jeudi;6;1;;;
25038;112601;2;mercredi;1;0;15.0;1.0;1.0
25039;112601;2;mercredi;2;0;;;
25040;112601;2;mercredi;3;0;30.0;1.0;2.0
25041;112601;2;mercredi;4;1;;;
25042;112601;2;mercredi;5;0;30.0;1.0;2.0
25043;112601;2;mercredi;6;1;;;
25080;112605;2;jeudi;1;0;25.0;1.0;1.0
25081;112605;2;jeudi;2;1;;;
25082;112605;2;jeudi;3;0;40.0;1.0;2.0
25083;112605;2;jeudi;4;0;;;
25084;112605;2;jeudi;5;0;35.0;1.0;2.0
25085;112605;2;jeudi;6;0;;;
25122;112611;2;dimanche;1;0;35.0;0.0;2.0
25123;112611;2;dimanche;2;1;;;
25124;112611;2;dimanche;3;0;75.0;1.0;2.0
25125;112611;2;dimanche;4;0;;;
25126;112611;2;dimanche;5;0;20.0;1.0;2.0
25127;112611;2;dimanche;6;1;;;
25164;112615;2;vendredi;1;0;10.0;1.0;1.0
25165;112615;2;vendredi;2;1;;;
25166;112615;2;vendredi;3;0;30.0;1.0;2.0
25167;112615;2;vendredi;4;1;;;
25168;112615;2;vendredi;5;0;30.0;1.0;2.0
25169;112615;2;vendredi;6;1;;;
25206;112618;2;mercredi;1;0;30.0;1.0;1.0
25207;112618;2;mercredi;2;0;;;
25208;112618;2;mercredi;3;0;30.0;1.0;2.0
25209;112618;2;mercredi;4;0;;;
25210;112618;2;mercredi;5;0;60.0;1.0;2.0
25211;112618;2;mercredi;6;1;;;
25248;112625;2;samedi;1;0;30.0;1.0;2.0
25249;112625;2;samedi;2;1;;;
25250;112625;2;samedi;3;0;30.0;1.0;2.0
25251;112625;2;samedi;4;1;;;
25252;112625;2;samedi;5;0;20.0;1.0;2.0
25253;112625;2;samedi;6;0;;;
25290;112627;2;jeudi;1;0;15.0;1.0;1.0
25291;112627;2;jeudi;2;0;;;
25292;112627;2;jeudi;3;0;20.0;1.0;1.0
25293;112627;2;jeudi;4;0;;;
25294;112627;2;jeudi;5;0;20.0;1.0;1.0
25295;112627;2;jeudi;6;0;;;
25332;112630;2;lundi;1;0;15.0;1.0;1.0
25333;112630;2;lundi;2;0;;;
25334;112630;2;lundi;3;0;30.0;6.0;1.0
25335;112630;2;lundi;4;0;;;
25336;112630;2;lundi;5;0;30.0;1.0;2.0
25337;112630;2;lundi;6;1;;;
25374;112632;2;vendredi;1;0;15.0;1.0;1.0
25375;112632;2;vendredi;2;1;;;
25376;112632;2;vendredi;3;0;30.0;1.0;1.0
25377;112632;2;vendredi;4;0;;;
25378;112632;2;vendredi;5;0;30.0;1.0;2.0
25379;112632;2;vendredi;6;1;;;
25416;112637;2;lundi;1;0;30.0;1.0;2.0
25417;112637;2;lundi;2;1;;;
25418;112637;2;lundi;3;0;60.0;5.0;4.0
25419;112637;2;lundi;4;1;;;
25420;112637;2;lundi;5;0;60.0;1.0;2.0
25421;112637;2;lundi;6;1;;;
25458;112638;2;vendredi;1;0;30.0;1.0;1.0
25459;112638;2;vendredi;2;1;;;
25460;112638;2;vendredi;3;0;30.0;1.0;2.0
25461;112638;2;vendredi;4;0;;;
25462;112638;2;vendredi;5;0;35.0;1.0;1.0
25463;112638;2;vendredi;6;0;;;
25500;112639;2;jeudi;1;0;15.0;1.0;2.0
25501;112639;2;jeudi;2;1;;;
25502;112639;2;jeudi;3;0;30.0;1.0;1.0
25503;112639;2;jeudi;4;1;;;
25504;112639;2;jeudi;5;0;25.0;1.0;2.0
25505;112639;2;jeudi;6;1;;;
25542;112641;2;mercredi;1;0;70.0;1.0;1.0
25543;112641;2;mercredi;2;1;;;
25544;112641;2;mercredi;3;0;30.0;1.0;2.0
25545;112641;2;mercredi;4;0;;;
25546;112641;2;mercredi;5;0;45.0;1.0;2.0
25547;112641;2;mercredi;6;1;;;
25584;112648;2;jeudi;1;0;10.0;1.0;1.0
25585;112648;2;jeudi;2;0;;;
25586;112648;2;jeudi;3;0;25.0;1.0;2.0
25587;112648;2;jeudi;4;1;;;
25588;112648;2;jeudi;5;0;40.0;1.0;2.0
25589;112648;2;jeudi;6;0;;;
25626;112659;2;mercredi;1;0;5.0;1.0;1.0
25627;112659;2;mercredi;2;0;;;
25628;112659;2;mercredi;3;0;20.0;1.0;1.0
25629;112659;2;mercredi;4;0;;;
25630;112659;2;mercredi;5;0;30.0;1.0;2.0
25631;112659;2;mercredi;6;0;;;
25668;112665;2;mardi;1;0;5.0;1.0;1.0
25669;112665;2;mardi;2;1;;;
25670;112665;2;mardi;3;0;10.0;1.0;1.0
25671;112665;2;mardi;4;0;;;
25672;112665;2;mardi;5;0;10.0;1.0;1.0
25673;112665;2;mardi;6;1;;;
25710;112667;2;vendredi;1;0;30.0;1.0;1.0
25711;112667;2;vendredi;2;0;;;
25712;112667;2;vendredi;3;0;60.0;1.0;2.0
25713;112667;2;vendredi;4;1;;;
25714;112667;2;vendredi;5;0;30.0;1.0;2.0
25715;112667;2;vendredi;6;1;;;
25752;112677;2;dimanche;1;1;;;
25753;112677;2;dimanche;2;1;;;
25754;112677;2;dimanche;3;0;60.0;1.0;2.0
25755;112677;2;dimanche;4;1;;;
25756;112677;2;dimanche;5;0;45.0;1.0;2.0
25757;112677;2;dimanche;6;1;;;
25794;112684;2;samedi;1;0;30.0;1.0;2.0
25795;112684;2;samedi;2;1;;;
25796;112684;2;samedi;3;0;30.0;1.0;2.0
25797;112684;2;samedi;4;1;;;
25798;112684;2;samedi;5;0;60.0;3.0;2.0
25799;112684;2;samedi;6;1;;;
25836;112688;2;mardi;1;0;15.0;1.0;2.0
25837;112688;2;mardi;2;1;;;
25838;112688;2;mardi;3;0;30.0;2.0;4.0
25839;112688;2;mardi;4;0;;;
25840;112688;2;mardi;5;0;30.0;1.0;2.0
25841;112688;2;mardi;6;1;;;
25878;112691;2;mercredi;1;0;15.0;1.0;1.0
25879;112691;2;mercredi;2;0;;;
25880;112691;2;mercredi;3;0;20.0;6.0;1.0
25881;112691;2;mercredi;4;0;;;
25882;112691;2;mercredi;5;0;40.0;1.0;2.0
25883;112691;2;mercredi;6;1;;;
25920;112693;2;vendredi;1;0;30.0;1.0;2.0
25921;112693;2;vendredi;2;1;;;
25922;112693;2;vendredi;3;0;30.0;1.0;2.0
25923;112693;2;vendredi;4;0;;;
25924;112693;2;vendredi;5;0;30.0;1.0;2.0
25925;112693;2;vendredi;6;0;;;
25962;112694;2;mercredi;1;0;20.0;1.0;1.0
25963;112694;2;mercredi;2;0;;;
25964;112694;2;mercredi;3;0;30.0;1.0;2.0
25965;112694;2;mercredi;4;0;;;
25966;112694;2;mercredi;5;0;30.0;1.0;2.0
25967;112694;2;mercredi;6;0;;;
26004;112697;2;mardi;1;0;15.0;1.0;1.0
26005;112697;2;mardi;2;0;;;
26006;112697;2;mardi;3;0;20.0;1.0;1.0
26007;112697;2;mardi;4;0;;;
26008;112697;2;mardi;5;0;45.0;1.0;2.0
26009;112697;2;mardi;6;0;;;
26046;112698;2;vendredi;1;0;30.0;1.0;1.0
26047;112698;2;vendredi;2;1;;;
26048;112698;2;vendredi;3;0;60.0;1.0;1.0
26049;112698;2;vendredi;4;1;;;
26050;112698;2;vendredi;5;0;60.0;1.0;2.0
26051;112698;2;vendredi;6;1;;;
26088;112699;2;samedi;1;0;15.0;1.0;1.0
26089;112699;2;samedi;2;0;;;
26090;112699;2;samedi;3;0;75.0;1.0;1.0
26091;112699;2;samedi;4;0;;;
26092;112699;2;samedi;5;0;10.0;1.0;1.0
26093;112699;2;samedi;6;0;;;
26130;112701;2;samedi;1;0;25.0;1.0;4.0
26131;112701;2;samedi;2;0;;;
26132;112701;2;samedi;3;1;;;
26133;112701;2;samedi;4;0;;;
26134;112701;2;samedi;5;0;45.0;1.0;4.0
26135;112701;2;samedi;6;1;;;
26172;112704;2;jeudi;1;0;10.0;1.0;2.0
26173;112704;2;jeudi;2;1;;;
26174;112704;2;jeudi;3;0;20.0;2.0;4.0
26175;112704;2;jeudi;4;1;;;
26176;112704;2;jeudi;5;0;45.0;1.0;2.0
26177;112704;2;jeudi;6;1;;;
26214;112706;2;mercredi;1;0;30.0;1.0;1.0
26215;112706;2;mercredi;2;0;;;
26216;112706;2;mercredi;3;0;30.0;1.0;1.0
26217;112706;2;mercredi;4;0;;;
26218;112706;2;mercredi;5;0;30.0;1.0;1.0
26219;112706;2;mercredi;6;1;;;
26256;112713;2;mardi;1;0;17.0;1.0;1.0
26257;112713;2;mardi;2;0;;;
26258;112713;2;mardi;3;0;35.0;1.0;2.0
26259;112713;2;mardi;4;0;;;
26260;112713;2;mardi;5;0;30.0;1.0;2.0
26261;112713;2;mardi;6;0;;;
26298;112716;2;lundi;1;0;;1.0;1.0
26299;112716;2;lundi;2;1;;;
26300;112716;2;lundi;3;0;;1.0;1.0
26301;112716;2;lundi;4;0;;;
26302;112716;2;lundi;5;0;;1.0;1.0
26303;112716;2;lundi;6;1;;;
26340;112723;2;dimanche;1;0;10.0;1.0;1.0
26341;112723;2;dimanche;2;1;;;
