;nomen;nojour;nomjour;tyrep;temrep;duree;lieu;avecqui
32616;113333;5;lundi;1;0;20.0;1.0;2.0
32617;113333;5;lundi;2;1;;;
32618;113333;5;lundi;3;0;40.0;1.0;2.0
32619;113333;5;lundi;4;0;;;
32620;113333;5;lundi;5;0;15.0;1.0;2.0
32621;113333;5;lundi;6;1;;;
32658;113346;5;mercredi;1;0;;0.0;1.0
32659;113346;5;mercredi;2;0;;;
32660;113346;5;mercredi;3;0;;1.0;1.0
32661;113346;5;mercredi;4;1;;;
32662;113346;5;mercredi;5;0;;1.0;1.0
32663;113346;5;mercredi;6;0;;;
32700;113349;5;dimanche;1;0;10.0;1.0;1.0
32701;113349;5;dimanche;2;0;;;
32702;113349;5;dimanche;3;0;35.0;1.0;1.0
32703;113349;5;dimanche;4;0;;;
32704;113349;5;dimanche;5;0;15.0;1.0;1.0
32705;113349;5;dimanche;6;0;;;
32742;113350;5;vendredi;1;1;;;
32743;113350;5;vendredi;2;1;;;
32744;113350;5;vendredi;3;1;;;
32745;113350;5;vendredi;4;0;;;
32746;113350;5;vendredi;5;0;30.0;1.0;2.0
32747;113350;5;vendredi;6;0;;;
32784;113351;5;dimanche;1;0;30.0;1.0;3.0
32785;113351;5;dimanche;2;1;;;
32786;113351;5;dimanche;3;0;60.0;5.0;3.0
32787;113351;5;dimanche;4;1;;;
32788;113351;5;dimanche;5;0;20.0;1.0;1.0
32789;113351;5;dimanche;6;0;;;
32826;113358;5;mardi;1;0;15.0;1.0;1.0
32827;113358;5;mardi;2;0;;;
32828;113358;5;mardi;3;0;60.0;2.0;4.0
32829;113358;5;mardi;4;1;;;
32830;113358;5;mardi;5;0;25.0;1.0;1.0
32831;113358;5;mardi;6;1;;;
32868;113359;5;mercredi;1;0;30.0;1.0;2.0
32869;113359;5;mercredi;2;0;;;
32870;113359;5;mercredi;3;0;60.0;1.0;2.0
32871;113359;5;mercredi;4;1;;;
32872;113359;5;mercredi;5;0;60.0;1.0;2.0
32873;113359;5;mercredi;6;1;;;
32910;113361;5;lundi;1;1;;;
32911;113361;5;lundi;2;0;;;
32912;113361;5;lundi;3;1;;;
32913;113361;5;lundi;4;0;;;
32914;113361;5;lundi;5;0;30.0;1.0;1.0
32915;113361;5;lundi;6;0;;;
32952;113362;5;dimanche;1;0;20.0;1.0;1.0
32953;113362;5;dimanche;2;1;;;
32954;113362;5;dimanche;3;0;20.0;1.0;1.0
32955;113362;5;dimanche;4;1;;;
32956;113362;5;dimanche;5;0;30.0;1.0;1.0
32957;113362;5;dimanche;6;1;;;
32994;113363;5;vendredi;1;0;15.0;1.0;2.0
32995;113363;5;vendredi;2;0;;;
32996;113363;5;vendredi;3;0;;5.0;2.0
32997;113363;5;vendredi;4;0;;;
32998;113363;5;vendredi;5;0;;1.0;2.0
32999;113363;5;vendredi;6;0;;;
33036;113364;5;jeudi;1;0;5.0;1.0;2.0
33037;113364;5;jeudi;2;0;;;
33038;113364;5;jeudi;3;0;15.0;1.0;1.0
33039;113364;5;jeudi;4;1;;;
33040;113364;5;jeudi;5;0;15.0;1.0;2.0
33041;113364;5;jeudi;6;1;;;
33078;113367;5;vendredi;1;0;15.0;1.0;2.0
33079;113367;5;vendredi;2;1;;;
33080;113367;5;vendredi;3;0;30.0;1.0;2.0
33081;113367;5;vendredi;4;1;;;
33082;113367;5;vendredi;5;0;30.0;1.0;2.0
33083;113367;5;vendredi;6;1;;;
33120;113370;5;lundi;1;0;30.0;1.0;2.0
33121;113370;5;lundi;2;1;;;
33122;113370;5;lundi;3;0;30.0;1.0;2.0
33123;113370;5;lundi;4;1;;;
33124;113370;5;lundi;5;0;30.0;1.0;2.0
33125;113370;5;lundi;6;1;;;
33162;113372;5;mercredi;1;0;15.0;1.0;1.0
33163;113372;5;mercredi;2;1;;;
33164;113372;5;mercredi;3;0;15.0;6.0;4.0
33165;113372;5;mercredi;4;1;;;
33166;113372;5;mercredi;5;0;30.0;1.0;2.0
33167;113372;5;mercredi;6;0;;;
33204;113384;5;dimanche;1;0;5.0;1.0;1.0
33205;113384;5;dimanche;2;1;;;
33206;113384;5;dimanche;3;0;25.0;3.0;2.0
33207;113384;5;dimanche;4;0;;;
33208;113384;5;dimanche;5;0;;1.0;1.0
33209;113384;5;dimanche;6;1;;;
33246;113393;5;dimanche;1;1;;;
33247;113393;5;dimanche;2;1;;;
33248;113393;5;dimanche;3;0;45.0;1.0;2.0
33249;113393;5;dimanche;4;0;;;
33250;113393;5;dimanche;5;1;;;
33251;113393;5;dimanche;6;9;;;
33288;113395;5;lundi;1;0;25.0;1.0;2.0
33289;113395;5;lundi;2;1;;;
33290;113395;5;lundi;3;0;30.0;1.0;2.0
33291;113395;5;lundi;4;1;;;
33292;113395;5;lundi;5;0;73.0;1.0;2.0
33293;113395;5;lundi;6;1;;;
33330;113400;5;lundi;1;0;15.0;6.0;4.0
33331;113400;5;lundi;2;1;;;
33332;113400;5;lundi;3;0;45.0;6.0;4.0
33333;113400;5;lundi;4;1;;;
33334;113400;5;lundi;5;0;60.0;6.0;4.0
33335;113400;5;lundi;6;1;;;
33372;113404;5;lundi;1;0;20.0;1.0;1.0
33373;113404;5;lundi;2;1;;;
33374;113404;5;lundi;3;0;20.0;1.0;2.0
33375;113404;5;lundi;4;1;;;
33376;113404;5;lundi;5;0;20.0;1.0;2.0
33377;113404;5;lundi;6;1;;;
33414;113411;5;samedi;1;0;20.0;1.0;2.0
33415;113411;5;samedi;2;1;;;
33416;113411;5;samedi;3;0;30.0;1.0;2.0
33417;113411;5;samedi;4;0;;;
33418;113411;5;samedi;5;0;30.0;1.0;2.0
33419;113411;5;samedi;6;0;;;
33456;113418;5;mercredi;1;0;75.0;1.0;2.0
33457;113418;5;mercredi;2;0;;;
33458;113418;5;mercredi;3;0;30.0;1.0;2.0
33459;113418;5;mercredi;4;0;;;
33460;113418;5;mercredi;5;0;40.0;1.0;2.0
33461;113418;5;mercredi;6;1;;;
33498;113422;5;vendredi;1;0;10.0;1.0;1.0
33499;113422;5;vendredi;2;1;;;
33500;113422;5;vendredi;3;0;10.0;1.0;1.0
33501;113422;5;vendredi;4;1;;;
33502;113422;5;vendredi;5;0;10.0;1.0;1.0
33503;113422;5;vendredi;6;1;;;
33540;113428;5;dimanche;1;0;45.0;1.0;2.0
33541;113428;5;dimanche;2;1;;;
33542;113428;5;dimanche;3;0;45.0;1.0;2.0
33543;113428;5;dimanche;4;1;;;
33544;113428;5;dimanche;5;0;30.0;1.0;2.0
33545;113428;5;dimanche;6;1;;;
33582;113431;5;jeudi;1;0;15.0;1.0;1.0
33583;113431;5;jeudi;2;1;;;
33584;113431;5;jeudi;3;0;40.0;1.0;2.0
33585;113431;5;jeudi;4;0;;;
33586;113431;5;jeudi;5;0;20.0;1.0;1.0
33587;113431;5;jeudi;6;1;;;
33624;113432;5;dimanche;1;0;20.0;1.0;2.0
33625;113432;5;dimanche;2;1;;;
33626;113432;5;dimanche;3;0;30.0;1.0;2.0
33627;113432;5;dimanche;4;0;;;
33628;113432;5;dimanche;5;0;30.0;1.0;1.0
33629;113432;5;dimanche;6;0;;;
33666;113445;5;mercredi;1;0;10.0;0.0;1.0
33667;113445;5;mercredi;2;0;;;
