;nomen;nojour;nomjour;tyrep;temrep;duree;lieu;avecqui
32628;113333;7;mercredi;1;0;20.0;1.0;2.0
32629;113333;7;mercredi;2;1;;;
32630;113333;7;mercredi;3;0;35.0;1.0;2.0
32631;113333;7;mercredi;4;0;;;
32632;113333;7;mercredi;5;0;25.0;1.0;2.0
32633;113333;7;mercredi;6;1;;;
32670;113346;7;vendredi;1;0;15.0;1.0;1.0
32671;113346;7;vendredi;2;0;;;
32672;113346;7;vendredi;3;0;15.0;1.0;1.0
32673;113346;7;vendredi;4;0;;;
32674;113346;7;vendredi;5;0;30.0;1.0;1.0
32675;113346;7;vendredi;6;0;;;
32712;113349;7;mardi;1;0;15.0;1.0;1.0
32713;113349;7;mardi;2;1;;;
32714;113349;7;mardi;3;0;15.0;1.0;1.0
32715;113349;7;mardi;4;0;;;
32716;113349;7;mardi;5;0;30.0;1.0;2.0
32717;113349;7;mardi;6;1;;;
32754;113350;7;dimanche;1;1;;;
32755;113350;7;dimanche;2;1;;;
32756;113350;7;dimanche;3;0;15.0;1.0;2.0
32757;113350;7;dimanche;4;0;;;
32758;113350;7;dimanche;5;0;30.0;1.0;2.0
32759;113350;7;dimanche;6;0;;;
32796;113351;7;mardi;1;0;15.0;1.0;1.0
32797;113351;7;mardi;2;1;;;
32798;113351;7;mardi;3;0;30.0;1.0;1.0
32799;113351;7;mardi;4;0;;;
32800;113351;7;mardi;5;0;20.0;1.0;1.0
32801;113351;7;mardi;6;0;;;
32838;113358;7;jeudi;1;0;15.0;1.0;1.0
32839;113358;7;jeudi;2;0;;;
32840;113358;7;jeudi;3;0;30.0;2.0;4.0
32841;113358;7;jeudi;4;0;;;
32842;113358;7;jeudi;5;0;30.0;1.0;1.0
32843;113358;7;jeudi;6;1;;;
32880;113359;7;vendredi;1;0;30.0;1.0;2.0
32881;113359;7;vendredi;2;1;;;
32882;113359;7;vendredi;3;0;60.0;1.0;2.0
32883;113359;7;vendredi;4;0;;;
32884;113359;7;vendredi;5;0;60.0;1.0;2.0
32885;113359;7;vendredi;6;1;;;
32922;113361;7;mercredi;1;0;10.0;2.0;9.0
32923;113361;7;mercredi;2;1;;;
32924;113361;7;mercredi;3;1;;;
32925;113361;7;mercredi;4;1;;;
32926;113361;7;mercredi;5;0;30.0;1.0;1.0
32927;113361;7;mercredi;6;0;;;
32964;113362;7;mardi;1;0;25.0;1.0;1.0
32965;113362;7;mardi;2;1;;;
32966;113362;7;mardi;3;0;30.0;1.0;2.0
32967;113362;7;mardi;4;1;;;
32968;113362;7;mardi;5;0;30.0;1.0;1.0
32969;113362;7;mardi;6;1;;;
33006;113363;7;dimanche;1;0;30.0;1.0;2.0
33007;113363;7;dimanche;2;0;;;
33008;113363;7;dimanche;3;0;60.0;5.0;2.0
33009;113363;7;dimanche;4;0;;;
