;nomen;nojour;nomjour;tyrep;temrep;duree;lieu;avecqui
32604;113333;3;samedi;1;0;20.0;1.0;2.0
32605;113333;3;samedi;2;0;;;
32606;113333;3;samedi;3;0;40.0;1.0;2.0
32607;113333;3;samedi;4;0;;;
32608;113333;3;samedi;5;0;80.0;1.0;2.0
32609;113333;3;samedi;6;1;;;
32646;113346;3;lundi;1;0;;0.0;2.0
32647;113346;3;lundi;2;0;;;
32648;113346;3;lundi;3;0;30.0;0.0;1.0
32649;113346;3;lundi;4;1;;;
32650;113346;3;lundi;5;0;15.0;0.0;1.0
32651;113346;3;lundi;6;0;;;
32688;113349;3;vendredi;1;0;10.0;1.0;1.0
32689;113349;3;vendredi;2;0;;;
32690;113349;3;vendredi;3;0;15.0;1.0;2.0
32691;113349;3;vendredi;4;0;;;
32692;113349;3;vendredi;5;0;15.0;1.0;2.0
32693;113349;3;vendredi;6;0;;;
32730;113350;3;mercredi;1;1;;;
32731;113350;3;mercredi;2;1;;;
32732;113350;3;mercredi;3;1;;;
32733;113350;3;mercredi;4;0;;;
32734;113350;3;mercredi;5;0;30.0;1.0;2.0
32735;113350;3;mercredi;6;1;;;
32772;113351;3;vendredi;1;0;20.0;1.0;1.0
32773;113351;3;vendredi;2;0;;;
32774;113351;3;vendredi;3;0;45.0;1.0;3.0
32775;113351;3;vendredi;4;0;;;
32776;113351;3;vendredi;5;0;25.0;1.0;3.0
32777;113351;3;vendredi;6;0;;;
32814;113358;3;dimanche;1;0;15.0;1.0;1.0
32815;113358;3;dimanche;2;1;;;
32816;113358;3;dimanche;3;0;20.0;1.0;1.0
32817;113358;3;dimanche;4;0;;;
32818;113358;3;dimanche;5;0;30.0;1.0;1.0
32819;113358;3;dimanche;6;1;;;
32856;113359;3;lundi;1;0;60.0;1.0;2.0
32857;113359;3;lundi;2;1;;;
32858;113359;3;lundi;3;0;30.0;1.0;2.0
32859;113359;3;lundi;4;0;;;
32860;113359;3;lundi;5;0;60.0;1.0;2.0
32861;113359;3;lundi;6;1;;;
32898;113361;3;samedi;1;1;;;
32899;113361;3;samedi;2;0;;;
32900;113361;3;samedi;3;0;45.0;1.0;1.0
32901;113361;3;samedi;4;0;;;
32902;113361;3;samedi;5;1;;;
32903;113361;3;samedi;6;0;;;
32940;113362;3;vendredi;1;0;20.0;1.0;1.0
32941;113362;3;vendredi;2;0;;;
32942;113362;3;vendredi;3;0;25.0;1.0;1.0
32943;113362;3;vendredi;4;0;;;
32944;113362;3;vendredi;5;0;30.0;1.0;1.0
32945;113362;3;vendredi;6;1;;;
32982;113363;3;mercredi;1;0;20.0;1.0;2.0
32983;113363;3;mercredi;2;0;;;
32984;113363;3;mercredi;3;0;35.0;5.0;2.0
32985;113363;3;mercredi;4;0;;;
32986;113363;3;mercredi;5;0;30.0;1.0;2.0
32987;113363;3;mercredi;6;0;;;
33024;113364;3;mardi;1;0;5.0;1.0;1.0
33025;113364;3;mardi;2;0;;;
33026;113364;3;mardi;3;0;5.0;1.0;1.0
33027;113364;3;mardi;4;1;;;
33028;113364;3;mardi;5;0;30.0;1.0;2.0
33029;113364;3;mardi;6;1;;;
33066;113367;3;mercredi;1;0;15.0;1.0;2.0
33067;113367;3;mercredi;2;1;;;
33068;113367;3;mercredi;3;0;30.0;1.0;2.0
33069;113367;3;mercredi;4;1;;;
33070;113367;3;mercredi;5;0;30.0;1.0;2.0
33071;113367;3;mercredi;6;1;;;
33108;113370;3;samedi;1;0;15.0;1.0;2.0
33109;113370;3;samedi;2;1;;;
33110;113370;3;samedi;3;0;30.0;1.0;2.0
33111;113370;3;samedi;4;1;;;
33112;113370;3;samedi;5;0;30.0;1.0;2.0
33113;113370;3;samedi;6;1;;;
33150;113372;3;lundi;1;0;10.0;1.0;1.0
33151;113372;3;lundi;2;1;;;
33152;113372;3;lundi;3;0;15.0;6.0;4.0
33153;113372;3;lundi;4;1;;;
33154;113372;3;lundi;5;0;30.0;1.0;2.0
33155;113372;3;lundi;6;0;;;
33192;113384;3;vendredi;1;0;;1.0;1.0
33193;113384;3;vendredi;2;1;;;
33194;113384;3;vendredi;3;0;15.0;3.0;2.0
33195;113384;3;vendredi;4;0;;;
33196;113384;3;vendredi;5;0;45.0;1.0;3.0
