;nomen;nojour;nomjour;tyrep;temrep;duree;lieu;avecqui
16020;111898;4;lundi;1;0;20.0;1.0;2.0
16021;111898;4;lundi;2;0;;;
16022;111898;4;lundi;3;0;15.0;1.0;2.0
16023;111898;4;lundi;4;0;;;
16024;111898;4;lundi;5;0;15.0;1.0;2.0
16025;111898;4;lundi;6;0;;;
16062;111901;4;lundi;1;0;30.0;1.0;2.0
16063;111901;4;lundi;2;1;;;
16064;111901;4;lundi;3;0;30.0;1.0;2.0
16065;111901;4;lundi;4;1;;;
16066;111901;4;lundi;5;0;40.0;1.0;2.0
16067;111901;4;lundi;6;1;;;
16104;111902;4;vendredi;1;0;15.0;1.0;2.0
16105;111902;4;vendredi;2;0;;;
16106;111902;4;vendredi;3;0;25.0;1.0;2.0
16107;111902;4;vendredi;4;1;;;
16108;111902;4;vendredi;5;0;30.0;1.0;2.0
16109;111902;4;vendredi;6;1;;;
16146;111912;4;dimanche;1;0;30.0;1.0;1.0
16147;111912;4;dimanche;2;1;;;
16148;111912;4;dimanche;3;0;25.0;1.0;2.0
16149;111912;4;dimanche;4;0;;;
16150;111912;4;dimanche;5;0;45.0;1.0;2.0
16151;111912;4;dimanche;6;1;;;
16188;111914;4;samedi;1;0;30.0;1.0;1.0
16189;111914;4;samedi;2;1;;;
16190;111914;4;samedi;3;0;30.0;1.0;1.0
16191;111914;4;samedi;4;0;;;
16192;111914;4;samedi;5;0;70.0;3.0;2.0
16193;111914;4;samedi;6;0;;;
16230;111915;4;dimanche;1;0;20.0;1.0;1.0
16231;111915;4;dimanche;2;1;;;
16232;111915;4;dimanche;3;0;60.0;0.0;2.0
16233;111915;4;dimanche;4;1;;;
16234;111915;4;dimanche;5;0;60.0;0.0;9.0
16235;111915;4;dimanche;6;1;;;
16272;111917;4;lundi;1;0;30.0;1.0;1.0
16273;111917;4;lundi;2;0;;;
16274;111917;4;lundi;3;0;90.0;3.0;3.0
16275;111917;4;lundi;4;0;;;
16276;111917;4;lundi;5;0;45.0;3.0;3.0
16277;111917;4;lundi;6;0;;;
16314;111920;4;dimanche;1;0;2.0;1.0;1.0
16315;111920;4;dimanche;2;1;;;
16316;111920;4;dimanche;3;0;30.0;1.0;2.0
16317;111920;4;dimanche;4;1;;;
16318;111920;4;dimanche;5;0;45.0;1.0;2.0
16319;111920;4;dimanche;6;0;;;
16356;111921;4;mardi;1;0;15.0;1.0;1.0
16357;111921;4;mardi;2;1;;;
16358;111921;4;mardi;3;0;25.0;2.0;4.0
16359;111921;4;mardi;4;1;;;
16360;111921;4;mardi;5;0;30.0;1.0;2.0
16361;111921;4;mardi;6;0;;;
16398;111922;4;samedi;1;0;20.0;1.0;1.0
16399;111922;4;samedi;2;0;;;
16400;111922;4;samedi;3;0;30.0;1.0;2.0
16401;111922;4;samedi;4;0;;;
16402;111922;4;samedi;5;0;60.0;1.0;2.0
16403;111922;4;samedi;6;0;;;
16440;111925;4;dimanche;1;1;;;
16441;111925;4;dimanche;2;1;;;
16442;111925;4;dimanche;3;0;45.0;3.0;2.0
16443;111925;4;dimanche;4;1;;;
16444;111925;4;dimanche;5;0;25.0;1.0;1.0
16445;111925;4;dimanche;6;0;;;
16482;111934;4;mercredi;1;0;20.0;1.0;1.0
16483;111934;4;mercredi;2;1;;;
16484;111934;4;mercredi;3;0;40.0;3.0;2.0
16485;111934;4;mercredi;4;1;;;
16486;111934;4;mercredi;5;0;20.0;1.0;1.0
16487;111934;4;mercredi;6;1;;;
16524;111939;4;samedi;1;0;20.0;6.0;1.0
16525;111939;4;samedi;2;1;;;
16526;111939;4;samedi;3;0;20.0;1.0;2.0
16527;111939;4;samedi;4;0;;;
16528;111939;4;samedi;5;0;20.0;1.0;2.0
16529;111939;4;samedi;6;0;;;
16566;111940;4;lundi;1;0;30.0;1.0;1.0
16567;111940;4;lundi;2;0;;;
16568;111940;4;lundi;3;0;30.0;1.0;1.0
16569;111940;4;lundi;4;0;;;
16570;111940;4;lundi;5;0;30.0;1.0;2.0
16571;111940;4;lundi;6;1;;;
16608;111941;4;lundi;1;0;15.0;1.0;1.0
16609;111941;4;lundi;2;1;;;
16610;111941;4;lundi;3;0;20.0;1.0;1.0
16611;111941;4;lundi;4;0;;;
16612;111941;4;lundi;5;0;10.0;1.0;1.0
16613;111941;4;lundi;6;0;;;
16650;111944;4;jeudi;1;0;20.0;1.0;1.0
16651;111944;4;jeudi;2;1;;;
16652;111944;4;jeudi;3;0;45.0;5.0;1.0
16653;111944;4;jeudi;4;1;;;
16654;111944;4;jeudi;5;0;30.0;1.0;2.0
16655;111944;4;jeudi;6;0;;;
16692;111947;4;mercredi;1;0;15.0;1.0;2.0
16693;111947;4;mercredi;2;0;;;
16694;111947;4;mercredi;3;1;;;
16695;111947;4;mercredi;4;0;;;
16696;111947;4;mercredi;5;0;135.0;1.0;3.0
16697;111947;4;mercredi;6;1;;;
16734;111950;4;dimanche;1;1;;;
16735;111950;4;dimanche;2;1;;;
16736;111950;4;dimanche;3;0;90.0;0.0;9.0
16737;111950;4;dimanche;4;0;;;
16738;111950;4;dimanche;5;0;30.0;0.0;2.0
16739;111950;4;dimanche;6;9;;;
16776;111957;4;dimanche;1;0;30.0;1.0;2.0
16777;111957;4;dimanche;2;0;;;
16778;111957;4;dimanche;3;0;30.0;1.0;2.0
