;nomen;nojour;nomjour;tyrep;temrep;duree;lieu;avecqui
10308;111367;4;mercredi;1;0;15.0;1.0;2.0
10309;111367;4;mercredi;2;0;;;
10310;111367;4;mercredi;3;0;15.0;1.0;2.0
10311;111367;4;mercredi;4;0;;;
10312;111367;4;mercredi;5;0;30.0;1.0;2.0
10313;111367;4;mercredi;6;1;;;
10350;111368;4;lundi;1;0;15.0;1.0;1.0
10351;111368;4;lundi;2;1;;;
10352;111368;4;lundi;3;0;30.0;6.0;1.0
10353;111368;4;lundi;4;1;;;
10354;111368;4;lundi;5;0;25.0;1.0;1.0
10355;111368;4;lundi;6;1;;;
10392;111370;4;samedi;1;0;40.0;1.0;1.0
10393;111370;4;samedi;2;0;;;
10394;111370;4;samedi;3;1;;;
10395;111370;4;samedi;4;0;;;
10396;111370;4;samedi;5;0;120.0;3.0;3.0
10397;111370;4;samedi;6;1;;;
10434;111372;4;dimanche;1;0;30.0;1.0;1.0
10435;111372;4;dimanche;2;0;;;
10436;111372;4;dimanche;3;0;135.0;3.0;3.0
10437;111372;4;dimanche;4;1;;;
10438;111372;4;dimanche;5;0;30.0;1.0;2.0
10439;111372;4;dimanche;6;0;;;
10476;111381;4;samedi;1;0;30.0;1.0;2.0
10477;111381;4;samedi;2;1;;;
10478;111381;4;samedi;3;0;60.0;1.0;2.0
10479;111381;4;samedi;4;0;;;
10480;111381;4;samedi;5;0;60.0;1.0;2.0
10481;111381;4;samedi;6;0;;;
10518;111383;4;dimanche;1;0;30.0;0.0;2.0
10519;111383;4;dimanche;2;0;;;
10520;111383;4;dimanche;3;0;90.0;1.0;2.0
10521;111383;4;dimanche;4;0;;;
10522;111383;4;dimanche;5;0;60.0;1.0;2.0
10523;111383;4;dimanche;6;1;;;
10560;111384;4;lundi;1;0;10.0;0.0;1.0
10561;111384;4;lundi;2;1;;;
10562;111384;4;lundi;3;0;15.0;0.0;1.0
10563;111384;4;lundi;4;0;;;
10564;111384;4;lundi;5;0;25.0;0.0;2.0
10565;111384;4;lundi;6;1;;;
10602;111390;4;jeudi;1;0;15.0;1.0;1.0
10603;111390;4;jeudi;2;1;;;
10604;111390;4;jeudi;3;0;30.0;1.0;2.0
10605;111390;4;jeudi;4;1;;;
10606;111390;4;jeudi;5;0;35.0;1.0;2.0
10607;111390;4;jeudi;6;0;;;
10644;111403;4;mercredi;1;0;15.0;1.0;1.0
10645;111403;4;mercredi;2;0;;;
10646;111403;4;mercredi;3;0;15.0;6.0;3.0
10647;111403;4;mercredi;4;0;;;
10648;111403;4;mercredi;5;0;15.0;1.0;1.0
10649;111403;4;mercredi;6;1;;;
10686;111404;4;lundi;1;0;15.0;1.0;1.0
10687;111404;4;lundi;2;1;;;
10688;111404;4;lundi;3;0;30.0;1.0;2.0
10689;111404;4;lundi;4;1;;;
10690;111404;4;lundi;5;0;30.0;1.0;2.0
10691;111404;4;lundi;6;1;;;
10728;111405;4;mardi;1;0;15.0;1.0;2.0
10729;111405;4;mardi;2;1;;;
10730;111405;4;mardi;3;0;45.0;1.0;2.0
10731;111405;4;mardi;4;1;;;
10732;111405;4;mardi;5;0;30.0;1.0;2.0
10733;111405;4;mardi;6;1;;;
10770;111411;4;vendredi;1;0;15.0;1.0;2.0
10771;111411;4;vendredi;2;1;;;
10772;111411;4;vendredi;3;0;45.0;6.0;4.0
10773;111411;4;vendredi;4;1;;;
10774;111411;4;vendredi;5;0;40.0;1.0;2.0
10775;111411;4;vendredi;6;1;;;
10812;111413;4;jeudi;1;0;15.0;1.0;2.0
10813;111413;4;jeudi;2;1;;;
10814;111413;4;jeudi;3;0;60.0;1.0;2.0
10815;111413;4;jeudi;4;1;;;
10816;111413;4;jeudi;5;0;45.0;1.0;2.0
10817;111413;4;jeudi;6;1;;;
10854;111414;4;lundi;1;0;15.0;0.0;9.0
10855;111414;4;lundi;2;1;;;
10856;111414;4;lundi;3;0;30.0;1.0;1.0
10857;111414;4;lundi;4;1;;;
10858;111414;4;lundi;5;0;30.0;0.0;9.0
10859;111414;4;lundi;6;1;;;
10896;111417;4;vendredi;1;0;30.0;1.0;1.0
10897;111417;4;vendredi;2;0;;;
10898;111417;4;vendredi;3;0;30.0;1.0;2.0
10899;111417;4;vendredi;4;0;;;
10900;111417;4;vendredi;5;0;30.0;1.0;2.0
10901;111417;4;vendredi;6;1;;;
10938;111419;4;dimanche;1;0;15.0;1.0;9.0
10939;111419;4;dimanche;2;1;;;
10940;111419;4;dimanche;3;0;60.0;1.0;2.0
10941;111419;4;dimanche;4;0;;;
10942;111419;4;dimanche;5;0;30.0;1.0;1.0
10943;111419;4;dimanche;6;0;;;
10980;111420;4;dimanche;1;0;15.0;1.0;1.0
10981;111420;4;dimanche;2;1;;;
10982;111420;4;dimanche;3;0;45.0;1.0;2.0
10983;111420;4;dimanche;4;0;;;
10984;111420;4;dimanche;5;0;40.0;1.0;1.0
10985;111420;4;dimanche;6;0;;;
11022;111421;4;dimanche;1;0;15.0;1.0;1.0
11023;111421;4;dimanche;2;1;;;
11024;111421;4;dimanche;3;0;55.0;1.0;2.0
11025;111421;4;dimanche;4;1;;;
11026;111421;4;dimanche;5;0;50.0;1.0;2.0
11027;111421;4;dimanche;6;1;;;
11064;111422;4;mardi;1;0;15.0;1.0;1.0
11065;111422;4;mardi;2;0;;;
11066;111422;4;mardi;3;0;75.0;5.0;4.0
11067;111422;4;mardi;4;1;;;
11068;111422;4;mardi;5;0;30.0;1.0;2.0
11069;111422;4;mardi;6;1;;;
11106;111424;4;jeudi;1;0;;1.0;2.0
11107;111424;4;jeudi;2;0;;;
11108;111424;4;jeudi;3;0;30.0;6.0;1.0
11109;111424;4;jeudi;4;0;;;
11110;111424;4;jeudi;5;0;30.0;6.0;1.0
11111;111424;4;jeudi;6;0;;;
11148;111428;4;dimanche;1;0;20.0;1.0;1.0
11149;111428;4;dimanche;2;0;;;
11150;111428;4;dimanche;3;0;30.0;6.0;3.0
11151;111428;4;dimanche;4;0;;;
11152;111428;4;dimanche;5;0;30.0;1.0;1.0
11153;111428;4;dimanche;6;0;;;
11190;111430;4;lundi;1;0;20.0;0.0;1.0
11191;111430;4;lundi;2;1;;;
11192;111430;4;lundi;3;0;30.0;1.0;1.0
11193;111430;4;lundi;4;0;;;
11194;111430;4;lundi;5;0;30.0;1.0;2.0
11195;111430;4;lundi;6;0;;;
11232;111433;4;samedi;1;0;30.0;1.0;2.0
11233;111433;4;samedi;2;1;;;
11234;111433;4;samedi;3;0;30.0;1.0;2.0
11235;111433;4;samedi;4;0;;;
11236;111433;4;samedi;5;0;30.0;1.0;2.0
11237;111433;4;samedi;6;1;;;
11274;111435;4;mardi;1;0;15.0;1.0;2.0
11275;111435;4;mardi;2;1;;;
11276;111435;4;mardi;3;0;60.0;1.0;2.0
11277;111435;4;mardi;4;0;;;
11278;111435;4;mardi;5;0;90.0;1.0;2.0
11279;111435;4;mardi;6;1;;;
11316;111447;4;vendredi;1;0;20.0;1.0;1.0
11317;111447;4;vendredi;2;0;;;
11318;111447;4;vendredi;3;0;35.0;1.0;3.0
11319;111447;4;vendredi;4;0;;;
11320;111447;4;vendredi;5;0;30.0;1.0;3.0
11321;111447;4;vendredi;6;1;;;
11358;111450;4;lundi;1;0;20.0;1.0;1.0
11359;111450;4;lundi;2;1;;;
11360;111450;4;lundi;3;0;35.0;2.0;4.0
11361;111450;4;lundi;4;1;;;
11362;111450;4;lundi;5;0;25.0;1.0;1.0
11363;111450;4;lundi;6;1;;;
11484;111457;4;samedi;1;0;15.0;1.0;1.0
11485;111457;4;samedi;2;0;;;
11486;111457;4;samedi;3;0;75.0;3.0;2.0
11487;111457;4;samedi;4;0;;;
11488;111457;4;samedi;5;0;35.0;1.0;1.0
11489;111457;4;samedi;6;1;;;
11526;111461;4;jeudi;1;0;15.0;1.0;1.0
