;nomen;nojour;nomjour;tyrep;temrep;duree;lieu;avecqui
4944;110885;6;samedi;1;0;30.0;0.0;9.0
4945;110885;6;samedi;2;0;;;
4946;110885;6;samedi;3;0;45.0;1.0;2.0
4947;110885;6;samedi;4;0;;;
4948;110885;6;samedi;5;0;60.0;1.0;2.0
4949;110885;6;samedi;6;1;;;
4986;110887;6;jeudi;1;0;15.0;6.0;1.0
4987;110887;6;jeudi;2;0;;;
4988;110887;6;jeudi;3;0;60.0;1.0;1.0
4989;110887;6;jeudi;4;0;;;
4990;110887;6;jeudi;5;0;45.0;6.0;1.0
4991;110887;6;jeudi;6;0;;;
5028;110888;6;jeudi;1;0;25.0;0.0;2.0
5029;110888;6;jeudi;2;0;;;
5030;110888;6;jeudi;3;0;30.0;0.0;2.0
5031;110888;6;jeudi;4;0;;;
5032;110888;6;jeudi;5;0;45.0;0.0;3.0
5033;110888;6;jeudi;6;0;;;
5070;110889;6;jeudi;1;0;10.0;1.0;1.0
5071;110889;6;jeudi;2;1;;;
5072;110889;6;jeudi;3;0;30.0;1.0;2.0
5073;110889;6;jeudi;4;0;;;
5074;110889;6;jeudi;5;0;30.0;1.0;2.0
5075;110889;6;jeudi;6;0;;;
5112;110891;6;lundi;1;0;20.0;1.0;2.0
5113;110891;6;lundi;2;1;;;
5114;110891;6;lundi;3;1;;;
5115;110891;6;lundi;4;0;;;
5116;110891;6;lundi;5;0;30.0;3.0;2.0
5117;110891;6;lundi;6;1;;;
5154;110893;6;mardi;1;0;15.0;0.0;2.0
5155;110893;6;mardi;2;1;;;
5156;110893;6;mardi;3;0;;0.0;1.0
5157;110893;6;mardi;4;1;;;
5158;110893;6;mardi;5;0;30.0;0.0;2.0
5159;110893;6;mardi;6;1;;;
5196;110903;6;lundi;1;0;10.0;1.0;2.0
5197;110903;6;lundi;2;1;;;
5198;110903;6;lundi;3;0;15.0;1.0;2.0
5199;110903;6;lundi;4;0;;;
5200;110903;6;lundi;5;0;15.0;1.0;2.0
5201;110903;6;lundi;6;1;;;
5238;110906;6;lundi;1;0;20.0;1.0;2.0
5239;110906;6;lundi;2;0;;;
5240;110906;6;lundi;3;0;45.0;1.0;2.0
5241;110906;6;lundi;4;0;;;
5242;110906;6;lundi;5;0;30.0;1.0;2.0
5243;110906;6;lundi;6;0;;;
5280;110908;6;mardi;1;0;30.0;1.0;1.0
5281;110908;6;mardi;2;0;;;
5282;110908;6;mardi;3;0;30.0;1.0;2.0
5283;110908;6;mardi;4;1;;;
5284;110908;6;mardi;5;0;30.0;1.0;2.0
5285;110908;6;mardi;6;0;;;
5322;110910;6;mercredi;1;0;30.0;0.0;1.0
5323;110910;6;mercredi;2;1;;;
5324;110910;6;mercredi;3;0;60.0;1.0;2.0
5325;110910;6;mercredi;4;0;;;
5326;110910;6;mercredi;5;0;35.0;1.0;2.0
5327;110910;6;mercredi;6;0;;;
5364;110915;6;mardi;1;0;;1.0;2.0
5365;110915;6;mardi;2;1;;;
5366;110915;6;mardi;3;0;;1.0;2.0
5367;110915;6;mardi;4;1;;;
5368;110915;6;mardi;5;0;;1.0;2.0
5369;110915;6;mardi;6;1;;;
5406;110920;6;lundi;1;1;;;
5407;110920;6;lundi;2;0;;;
5408;110920;6;lundi;3;1;;;
5409;110920;6;lundi;4;0;;;
5410;110920;6;lundi;5;0;;1.0;1.0
5411;110920;6;lundi;6;0;;;
5448;110923;6;jeudi;1;0;30.0;1.0;2.0
5449;110923;6;jeudi;2;0;;;
5450;110923;6;jeudi;3;0;45.0;1.0;2.0
5451;110923;6;jeudi;4;0;;;
5452;110923;6;jeudi;5;0;45.0;1.0;2.0
5453;110923;6;jeudi;6;1;;;
5490;110927;6;samedi;1;0;30.0;1.0;2.0
5491;110927;6;samedi;2;1;;;
5492;110927;6;samedi;3;0;30.0;1.0;2.0
5493;110927;6;samedi;4;1;;;
5494;110927;6;samedi;5;0;30.0;1.0;2.0
5495;110927;6;samedi;6;1;;;
5532;110928;6;lundi;1;0;15.0;1.0;1.0
5533;110928;6;lundi;2;1;;;
5534;110928;6;lundi;3;0;30.0;2.0;3.0
5535;110928;6;lundi;4;0;;;
5536;110928;6;lundi;5;0;30.0;1.0;1.0
5537;110928;6;lundi;6;0;;;
5574;110935;6;lundi;1;0;30.0;1.0;2.0
5575;110935;6;lundi;2;1;;;
5576;110935;6;lundi;3;0;30.0;1.0;2.0
5577;110935;6;lundi;4;1;;;
5578;110935;6;lundi;5;0;30.0;1.0;2.0
5579;110935;6;lundi;6;1;;;
5616;110937;6;dimanche;1;0;20.0;1.0;2.0
5617;110937;6;dimanche;2;1;;;
5618;110937;6;dimanche;3;0;30.0;1.0;2.0
5619;110937;6;dimanche;4;0;;;
5620;110937;6;dimanche;5;0;40.0;1.0;2.0
5621;110937;6;dimanche;6;0;;;
5658;110939;6;samedi;1;0;15.0;0.0;1.0
5659;110939;6;samedi;2;1;;;
5660;110939;6;samedi;3;1;;;
5661;110939;6;samedi;4;0;;;
5662;110939;6;samedi;5;0;285.0;1.0;1.0
5663;110939;6;samedi;6;0;;;
5700;110941;6;dimanche;1;0;60.0;0.0;2.0
5701;110941;6;dimanche;2;1;;;
5702;110941;6;dimanche;3;0;60.0;1.0;2.0
5703;110941;6;dimanche;4;0;;;
5704;110941;6;dimanche;5;0;60.0;1.0;1.0
5705;110941;6;dimanche;6;1;;;
5742;110946;6;dimanche;1;0;15.0;1.0;1.0
5743;110946;6;dimanche;2;0;;;
5744;110946;6;dimanche;3;0;45.0;3.0;3.0
5745;110946;6;dimanche;4;0;;;
5746;110946;6;dimanche;5;0;15.0;1.0;1.0
5747;110946;6;dimanche;6;0;;;
5784;110947;6;dimanche;1;0;15.0;1.0;1.0
5785;110947;6;dimanche;2;0;;;
5786;110947;6;dimanche;3;1;;;
5787;110947;6;dimanche;4;0;;;
5788;110947;6;dimanche;5;0;30.0;1.0;1.0
5789;110947;6;dimanche;6;1;;;
5826;110949;6;dimanche;1;1;;;
5827;110949;6;dimanche;2;1;;;
5828;110949;6;dimanche;3;0;40.0;3.0;3.0
5829;110949;6;dimanche;4;1;;;
5830;110949;6;dimanche;5;0;25.0;1.0;1.0
5831;110949;6;dimanche;6;0;;;
5868;110955;6;dimanche;1;0;30.0;1.0;2.0
