;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;84;12;38.253968254
1;2;Champagne;21;3;50.0
2;3;Picardie;35;5;33.2258064516
3;4;Haute-Normandie;28;4;36.24
4;5;Centre;70;10;44.9666666667
5;6;Basse-Normandie;21;3;38.6363636364
6;7;Bourgogne;42;6;32.4571428571
7;8;Nord;49;7;24.5348837209
8;9;Lorraine;42;6;31.7567567568
9;10;Alsace;28;4;40.8888888889
10;11;Franche Comté;21;3;32.8571428571
11;12;Pays de la Loire;63;9;32.6530612245
12;13;Bretagne;28;4;28.5714285714
13;14;Poitou Charentes;84;12;48.3544303797
14;15;Aquitaine;35;5;30.5588235294
15;16;Midi-Pyrénées;70;10;42.2727272727
16;17;limousin;14;2;43.9285714286
17;18;Rhône-Alpes;35;5;49.28125
18;19;Auvergne;28;4;42.1428571429
19;20;Languedoc;56;8;28.5555555556
20;21;Provence Côte d'Azur;42;6;33.9473684211
