;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;301;43;
1;2;Champagne;21;3;
2;3;Picardie;49;7;
3;4;Haute-Normandie;49;7;
4;5;Centre;35;5;
5;6;Basse-Normandie;35;5;
6;7;Bourgogne;14;2;
7;8;Nord;42;6;
8;9;Lorraine;70;10;
9;10;Alsace;21;3;
10;11;Franche Comté;14;2;
11;12;Pays de la Loire;119;17;
12;13;Bretagne;112;16;
13;14;Poitou Charentes;28;4;
14;15;Aquitaine;98;14;
15;16;Midi-Pyrénées;84;12;
16;17;limousin;14;2;
17;18;Rhône-Alpes;140;20;
18;19;Auvergne;35;5;
19;20;Languedoc;77;11;
20;21;Provence Côte d'Azur;70;10;
