;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;1974;282;20.4081632653
1;2;Champagne;413;59;20.9883381924
2;3;Picardie;483;69;19.8700696056
3;4;Haute-Normandie;371;53;18.6474576271
4;5;Centre;630;90;19.5788381743
5;6;Basse-Normandie;350;50;18.1743421053
6;7;Bourgogne;252;36;20.9427312775
7;8;Nord;700;100;20.2879581152
8;9;Lorraine;560;80;20.7494824017
9;10;Alsace;315;45;20.3
10;11;Franche Comté;357;51;21.4052287582
11;12;Pays de la Loire;700;100;20.2721617418
12;13;Bretagne;707;101;20.881141046
13;14;Poitou Charentes;518;74;21.2445414847
14;15;Aquitaine;679;97;22.5749559083
15;16;Midi-Pyrénées;525;75;18.0633187773
16;17;limousin;119;17;20.8932038835
17;18;Rhône-Alpes;1015;145;18.2049763033
18;19;Auvergne;301;43;18.906614786
19;20;Languedoc;784;112;19.3559322034
20;21;Provence Côte d'Azur;672;96;19.9371727749
