;reg_code;reg_name;entries_num;indiv_num;mean
0;1;Région Parisienne;106;106;20.9130434783
1;2;Champagne;42;42;17.95
2;3;Picardie;17;17;24.0
3;4;Haute-Normandie;7;7;16.6666666667
4;5;Centre;45;45;16.375
5;6;Basse-Normandie;17;17;15.3125
6;7;Bourgogne;8;8;18.75
7;8;Nord;57;57;21.375
8;9;Lorraine;21;21;16.0
9;10;Alsace;8;8;18.0
10;11;Franche Comté;9;9;18.5555555556
11;12;Pays de la Loire;28;28;20.037037037
12;13;Bretagne;21;21;22.0
13;14;Poitou Charentes;15;15;17.8571428571
14;15;Aquitaine;19;19;24.6470588235
15;16;Midi-Pyrénées;8;8;15.25
16;17;limousin;2;2;20.0
17;18;Rhône-Alpes;18;18;15.7222222222
18;19;Auvergne;11;11;22.5
19;20;Languedoc;42;42;19.8285714286
20;21;Provence Côte d'Azur;33;33;17.3333333333
