;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;91;13;
1;2;Champagne;14;2;
2;3;Picardie;14;2;
3;4;Haute-Normandie;14;2;
4;5;Centre;42;6;
5;6;Basse-Normandie;14;2;
6;7;Bourgogne;21;3;
7;8;Nord;35;5;
8;9;Lorraine;56;8;
9;10;Alsace;14;2;
10;11;Franche Comté;105;15;
11;12;Pays de la Loire;35;5;
12;13;Bretagne;42;6;
13;14;Poitou Charentes;63;9;
14;15;Aquitaine;49;7;
15;16;Midi-Pyrénées;35;5;
16;17;limousin;7;1;
17;18;Rhône-Alpes;84;12;
18;19;Auvergne;28;4;
19;20;Languedoc;35;5;
20;21;Provence Côte d'Azur;21;3;
