;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;203;29;20.4171428571
1;2;Champagne;42;6;28.9411764706
2;3;Picardie;77;11;17.4090909091
3;4;Haute-Normandie;84;12;21.8550724638
4;5;Centre;91;13;18.141025641
5;6;Basse-Normandie;56;8;25.5
6;7;Bourgogne;49;7;28.4042553191
7;8;Nord;98;14;17.725
8;9;Lorraine;140;20;20.552238806
9;10;Alsace;63;9;21.3333333333
10;11;Franche Comté;21;3;20.7142857143
11;12;Pays de la Loire;105;15;21.9680851064
12;13;Bretagne;119;17;20.8636363636
13;14;Poitou Charentes;91;13;19.9285714286
14;15;Aquitaine;189;27;19.4355828221
15;16;Midi-Pyrénées;98;14;19.1333333333
16;17;limousin;14;2;25.5555555556
17;18;Rhône-Alpes;154;22;19.2746478873
18;19;Auvergne;49;7;16.3888888889
19;20;Languedoc;126;18;19.5523809524
20;21;Provence Côte d'Azur;105;15;18.908045977
