;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;360;60;27.2545454545
1;2;Champagne;24;4;25.8333333333
2;3;Picardie;132;22;31.671875
3;4;Haute-Normandie;78;13;33.7647058824
4;5;Centre;54;9;32.1153846154
5;6;Basse-Normandie;72;12;26.9142857143
6;7;Bourgogne;54;9;31.9230769231
7;8;Nord;54;9;29.7407407407
8;9;Lorraine;102;17;32.1020408163
9;10;Alsace;72;12;26.3142857143
10;11;Franche Comté;48;8;30.4583333333
11;12;Pays de la Loire;156;26;29.0526315789
12;13;Bretagne;102;17;40.6222222222
13;14;Poitou Charentes;60;10;25.8333333333
14;15;Aquitaine;126;21;32.0862068966
15;16;Midi-Pyrénées;48;8;33.875
16;17;limousin;24;4;32.5
17;18;Rhône-Alpes;276;46;29.0923076923
18;19;Auvergne;48;8;39.652173913
19;20;Languedoc;120;20;28.2068965517
20;21;Provence Côte d'Azur;168;28;28.8292682927
