;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;448;64;21.9244712991
1;2;Champagne;133;19;20.6923076923
2;3;Picardie;77;11;24.9264705882
3;4;Haute-Normandie;21;3;23.4210526316
4;5;Centre;196;28;18.0320512821
5;6;Basse-Normandie;84;12;17.602739726
6;7;Bourgogne;21;3;19.4117647059
7;8;Nord;224;32;20.7239583333
8;9;Lorraine;98;14;20.1931818182
9;10;Alsace;28;4;19.8125
10;11;Franche Comté;35;5;20.5
11;12;Pays de la Loire;77;11;17.75
12;13;Bretagne;56;8;22.0943396226
13;14;Poitou Charentes;56;8;18.9818181818
14;15;Aquitaine;35;5;24.3939393939
15;16;Midi-Pyrénées;35;5;17.1176470588
16;17;limousin;14;2;20.4166666667
17;18;Rhône-Alpes;77;11;22.3623188406
18;19;Auvergne;42;6;24.6666666667
19;20;Languedoc;140;20;23.5615384615
20;21;Provence Côte d'Azur;126;18;21.4782608696
