;reg_code;reg_name;entries_num;indiv_num;mean_duree
0;1;Région Parisienne;62;62;36.7884615385
1;2;Champagne;1;1;30.0
2;3;Picardie;10;10;32.5
3;4;Haute-Normandie;4;4;36.25
4;5;Centre;4;4;37.25
5;6;Basse-Normandie;5;5;37.0
6;7;Bourgogne;1;1;25.0
7;8;Nord;5;5;42.5
8;9;Lorraine;9;9;35.0
9;10;Alsace;6;6;29.1666666667
10;11;Franche Comté;2;2;25.0
11;12;Pays de la Loire;12;12;45.6363636364
12;13;Bretagne;7;7;46.4285714286
13;14;Poitou Charentes;3;3;36.6666666667
14;15;Aquitaine;11;11;41.25
15;16;Midi-Pyrénées;7;7;35.0
16;17;limousin;1;1;20.0
17;18;Rhône-Alpes;20;20;30.25
18;19;Auvergne;3;3;30.0
19;20;Languedoc;4;4;43.75
20;21;Provence Côte d'Azur;12;12;26.8181818182
