;nomen;nojour;nomjour;tyrep;temrep;duree;lieu;avecqui
7302;111118;7;mardi;1;1;;;
7303;111118;7;mardi;2;1;;;
7304;111118;7;mardi;3;0;30.0;1.0;2.0
7305;111118;7;mardi;4;1;;;
7306;111118;7;mardi;5;0;60.0;3.0;3.0
7307;111118;7;mardi;6;1;;;
7344;111120;7;samedi;1;0;25.0;1.0;2.0
7345;111120;7;samedi;2;1;;;
7346;111120;7;samedi;3;0;45.0;3.0;2.0
7347;111120;7;samedi;4;1;;;
7348;111120;7;samedi;5;0;15.0;1.0;2.0
7349;111120;7;samedi;6;1;;;
7386;111121;7;lundi;1;0;25.0;5.0;3.0
7387;111121;7;lundi;2;0;;;
7388;111121;7;lundi;3;0;45.0;5.0;3.0
7389;111121;7;lundi;4;1;;;
7390;111121;7;lundi;5;0;30.0;1.0;2.0
7391;111121;7;lundi;6;1;;;
7428;111134;7;dimanche;1;0;30.0;1.0;2.0
7429;111134;7;dimanche;2;1;;;
7430;111134;7;dimanche;3;0;60.0;3.0;3.0
7431;111134;7;dimanche;4;0;;;
7432;111134;7;dimanche;5;0;;3.0;2.0
7433;111134;7;dimanche;6;0;;;
7470;111138;7;mardi;1;0;30.0;1.0;1.0
7471;111138;7;mardi;2;0;;;
7472;111138;7;mardi;3;0;45.0;1.0;1.0
7473;111138;7;mardi;4;0;;;
7474;111138;7;mardi;5;0;40.0;1.0;1.0
7475;111138;7;mardi;6;1;;;
7512;111139;7;lundi;1;0;30.0;1.0;2.0
7513;111139;7;lundi;2;1;;;
7514;111139;7;lundi;3;0;45.0;1.0;2.0
7515;111139;7;lundi;4;1;;;
7516;111139;7;lundi;5;0;45.0;1.0;2.0
7517;111139;7;lundi;6;1;;;
7554;111140;7;dimanche;1;0;15.0;1.0;1.0
7555;111140;7;dimanche;2;0;;;
7556;111140;7;dimanche;3;0;30.0;1.0;2.0
7557;111140;7;dimanche;4;0;;;
7558;111140;7;dimanche;5;0;20.0;1.0;2.0
7559;111140;7;dimanche;6;0;;;
7596;111142;7;jeudi;1;0;30.0;1.0;1.0
7597;111142;7;jeudi;2;1;;;
7598;111142;7;jeudi;3;0;45.0;1.0;2.0
7599;111142;7;jeudi;4;1;;;
7600;111142;7;jeudi;5;0;45.0;1.0;2.0
7601;111142;7;jeudi;6;1;;;
7638;111149;7;samedi;1;0;10.0;0.0;1.0
7639;111149;7;samedi;2;0;;;
7640;111149;7;samedi;3;0;20.0;0.0;1.0
7641;111149;7;samedi;4;0;;;
7642;111149;7;samedi;5;0;90.0;0.0;3.0
7643;111149;7;samedi;6;1;;;
7680;111153;7;jeudi;1;0;10.0;1.0;1.0
7681;111153;7;jeudi;2;0;;;
7682;111153;7;jeudi;3;0;15.0;1.0;2.0
7683;111153;7;jeudi;4;1;;;
7684;111153;7;jeudi;5;0;35.0;1.0;1.0
7685;111153;7;jeudi;6;1;;;
7722;111158;7;dimanche;1;1;;;
7723;111158;7;dimanche;2;0;;;
7724;111158;7;dimanche;3;0;90.0;5.0;2.0
7725;111158;7;dimanche;4;1;;;
7726;111158;7;dimanche;5;0;;1.0;9.0
7727;111158;7;dimanche;6;0;;;
7764;111160;7;vendredi;1;0;10.0;1.0;1.0
7765;111160;7;vendredi;2;1;;;
7766;111160;7;vendredi;3;0;20.0;1.0;2.0
7767;111160;7;vendredi;4;1;;;
7768;111160;7;vendredi;5;0;10.0;1.0;2.0
7769;111160;7;vendredi;6;1;;;
7806;111162;7;dimanche;1;0;;1.0;2.0
7807;111162;7;dimanche;2;0;;;
7808;111162;7;dimanche;3;0;30.0;1.0;2.0
