;nomen;nojour;nomjour;tyrep;temrep;duree;lieu;avecqui
17034;111991;5;vendredi;1;0;30.0;0.0;1.0
17035;111991;5;vendredi;2;1;;;
17036;111991;5;vendredi;3;0;45.0;1.0;2.0
17037;111991;5;vendredi;4;1;;;
17038;111991;5;vendredi;5;0;45.0;0.0;2.0
17039;111991;5;vendredi;6;1;;;
17076;111992;5;dimanche;1;0;15.0;1.0;1.0
17077;111992;5;dimanche;2;1;;;
17078;111992;5;dimanche;3;0;30.0;1.0;2.0
17079;111992;5;dimanche;4;0;;;
17080;111992;5;dimanche;5;0;45.0;1.0;2.0
17081;111992;5;dimanche;6;0;;;
17118;111993;5;samedi;1;0;;1.0;2.0
17119;111993;5;samedi;2;1;;;
17120;111993;5;samedi;3;0;45.0;1.0;2.0
17121;111993;5;samedi;4;1;;;
17122;111993;5;samedi;5;0;45.0;1.0;2.0
17123;111993;5;samedi;6;1;;;
17160;111994;5;samedi;1;0;10.0;1.0;2.0
17161;111994;5;samedi;2;1;;;
17162;111994;5;samedi;3;0;25.0;1.0;9.0
17163;111994;5;samedi;4;0;;;
17164;111994;5;samedi;5;0;15.0;1.0;2.0
17165;111994;5;samedi;6;0;;;
17202;111996;5;mercredi;1;1;;;
17203;111996;5;mercredi;2;1;;;
17204;111996;5;mercredi;3;1;;;
17205;111996;5;mercredi;4;1;;;
17206;111996;5;mercredi;5;0;20.0;1.0;2.0
17207;111996;5;mercredi;6;1;;;
17244;111998;5;lundi;1;0;25.0;1.0;2.0
17245;111998;5;lundi;2;1;;;
17246;111998;5;lundi;3;0;30.0;1.0;2.0
17247;111998;5;lundi;4;1;;;
17248;111998;5;lundi;5;0;35.0;1.0;2.0
17249;111998;5;lundi;6;1;;;
17286;112005;5;dimanche;1;0;5.0;1.0;1.0
17287;112005;5;dimanche;2;0;;;
17288;112005;5;dimanche;3;1;;;
17289;112005;5;dimanche;4;0;;;
17290;112005;5;dimanche;5;1;;;
17291;112005;5;dimanche;6;1;;;
17328;112007;5;lundi;1;0;30.0;1.0;2.0
17329;112007;5;lundi;2;1;;;
17330;112007;5;lundi;3;0;30.0;1.0;2.0
