;nomen;revenu;agglo9;loc_log;stat_log;nb_voit;nb_tv;jardin;micro_onde;frigo;congelo;four;soins;situ_fin;situ_alim;manq_alim;viande;jard_potager;jard_verger;jard_pelouse;jard_poules;nbpers;sexe_chef;age_chefq;nbadu;nbenf;agglo5;ech;cspc;reg;pcschef;up;jard_rien;sitalim_regime;sitalim_temps;sitalim_argent;sitalim_depl;sitalim_rhf;sitalim_place;sitalim_autre;chef_diplo;chef_situprof;chef_statempl;chef_typempl;chef_atrav;chef_nbsal;tage_chef;pond_men;selcuileg;selcuivp;selcuivps;selcuioeuf;saliere;selcrud;typesel;chori;chprix;chlabel;chsani;chhabit;chmarq;chpres;chprod;chgout;chetiq;chnut;claim;inscuisson;insconserv;stokcons;micronde;consopc;dlcoeuf;dlcjamb;dlcsaum;dlcfrom;dlcpl;dlcyao;dlclaif;dlccrem;dlcvian;dlcpcsv;csvjamb;csvcharc;csvpc;csventrf;csvfromc;csvvian;nreprill;nreppate;nrepjamb;nrepsaum;nrepsauc;temp;thermo;tempfrig;alimcru;reste;puits;traiteau;traiteauch;traitcirc;traitusag;systion;systcharb;autsyst;fqtrait;entrprof;entrindi;chfacil;chnouv;chpub;nrchoix;traitnsp;nrtrait;systmemb;systmeca;systuv;systaut;systnsp;nrsyst;entrnsp
245;111367;14;1;3;1;2;2;1;1;1;1;1;2;2;1;4;1;1.0;1.0;1.0;2.0;4;1;60;2;2;1;1;16.0;0;7.0;25037;2.0;;;;;;;;7;4;3.0;2.0;1.0;;6;0.687692;1.0;1.0;1.0;1.0;2.0;4.0;5.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;3.0;2.0;2.0;3.0;4.0;6.0;2.0;7.0;6.0;7.0;5.0;7.0;5.0;1.0;7.0;2.0;2.0;1.0;1.0;4.0;2.0;3.0;3.0;1.0;5.0;2.0;6.0;1.0;;3.0;1.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
246;111368;14;1;3;3;3;4;1;1;1;1;1;2;4;1;4;1;2.0;2.0;2.0;2.0;4;1;52;4;0;1;1;11.0;0;6.0;25037;1.0;;;;;;;;5;1;3.0;6.0;;;5;0.3865585;4.0;4.0;4.0;4.0;1.0;4.0;2.0;2.0;1.0;2.0;2.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;4.0;1.0;1.0;4.0;3.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;7.0;7.0;1.0;1.0;2.0;2.0;1.0;2.0;6.0;3.0;2.0;1.0;1.0;5.0;2.0;2.0;1.0;;3.0;5.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
247;111370;15;1;3;4;1;4;1;1;1;1;1;2;4;1;4;1;2.0;2.0;2.0;2.0;2;2;42;1;1;1;1;10.0;0;5.0;25037;1.0;;;;;;;;11;1;3.0;2.0;;;4;0.1917457;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;4.0;2.0;2.0;1.0;3.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;3.0;2.0;1.0;1.0;1.0;99.0;9.0;;1.0;2.0;3.0;3.0;;;;;;;;;;1.0;2.0;2.0;;;;;;;;;;
248;111372;6;1;3;2;2;4;1;1;1;1;1;2;2;1;4;1;1.0;1.0;1.0;1.0;2;1;64;2;0;1;1;17.0;0;7.0;25037;2.0;;;;;;;;7;5;6.0;2.0;1.0;10.0;6;0.3834913;1.0;2.0;1.0;1.0;4.0;3.0;2.0;1.0;2.0;1.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;4.0;1.0;1.0;2.0;5.0;3.0;7.0;7.0;3.0;7.0;7.0;4.0;7.0;7.0;7.0;7.0;2.0;6.0;6.0;6.0;3.0;1.0;5.0;5.0;5.0;3.0;5.0;4.0;2.0;5.0;1.0;1.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
249;111381;15;1;4;1;1;3;1;1;1;1;1;2;2;1;4;2;1.0;1.0;1.0;1.0;2;1;46;2;0;1;1;9.0;0;4.0;25066;2.0;;;;;;;;3;1;3.0;2.0;;;4;0.3834913;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0;1.0;1.0;2.0;2.0;2.0;2.0;4.0;1.0;1.0;1.0;3.0;3.0;1.0;1.0;1.0;7.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;6.0;1.0;3.0;2.0;2.0;2.0;1.0;16.0;1.0;;3.0;1.0;3.0;4.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
250;111383;14;1;4;2;2;3;1;1;1;1;1;2;2;1;4;1;1.0;1.0;1.0;1.0;4;1;52;2;2;1;1;1.0;0;1.0;25066;2.0;;;;;;;;2;1;7.0;2.0;;0.0;5;0.1917457;1.0;1.0;2.0;1.0;1.0;2.0;2.0;1.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;4.0;2.0;2.0;3.0;4.0;2.0;2.0;1.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;1.0;2.0;2.0;1.0;2.0;3.0;1.0;3.0;2.0;2.0;1.0;1.0;16.0;1.0;;1.0;2.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
251;111384;14;1;4;4;1;4;1;2;1;1;1;2;5;2;4;1;1.0;2.0;1.0;1.0;3;2;46;3;0;1;1;18.0;0;8.0;25066;2.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2;6;;;2.0;;4;0.3834921;1.0;1.0;4.0;4.0;1.0;4.0;9.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;4.0;3.0;4.0;3.0;6.0;4.0;7.0;4.0;7.0;4.0;4.0;4.0;4.0;4.0;4.0;3.0;4.0;5.0;5.0;5.0;6.0;5.0;3.0;4.0;3.0;5.0;3.0;16.0;1.0;;3.0;4.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
252;111390;15;1;3;2;2;3;1;1;1;1;1;2;2;1;4;1;2.0;2.0;1.0;2.0;4;1;50;3;1;1;1;1.0;0;1.0;25091;2.0;;;;;;;;7;1;7.0;1.0;;0.0;5;0.2876185;2.0;1.0;2.0;1.0;1.0;3.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;1.0;3.0;2.0;1.0;4.0;4.0;1.0;1.0;4.0;1.0;3.0;2.0;2.0;2.0;3.0;1.0;3.0;3.0;2.0;3.0;2.0;1.0;2.0;2.0;4.0;1.0;;3.0;1.0;3.0;1.0;2.0;1.0;2.0;1.0;2.0;;2.0;1.0;2.0;2.0;2.0;2.0;;2.0;;2.0;1.0;2.0;2.0;2.0;;2.0
253;111403;8;4;1;3;1;3;1;1;1;1;1;2;3;2;4;1;1.0;2.0;1.0;2.0;2;1;34;2;0;2;1;11.0;0;6.0;251012;2.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2;1;3.0;2.0;;;4;0.3578836;1.0;1.0;3.0;1.0;3.0;1.0;5.0;2.0;1.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;4.0;1.0;5.0;1.0;3.0;2.0;9.0;6.0;6.0;3.0;6.0;3.0;7.0;1.0;1.0;6.0;1.0;2.0;6.0;6.0;2.0;1.0;1.0;3.0;2.0;1.0;2.0;16.0;1.0;;3.0;1.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
254;111404;3;4;2;4;3;3;2;1;1;1;1;2;2;2;4;1;;;;;1;2;71;1;0;2;1;17.0;0;7.0;251012;;1.0;2.0;1.0;2.0;2.0;2.0;2.0;2;5;7.0;2.0;1.0;2.0;6;1.070538;1.0;1.0;6.0;1.0;4.0;3.0;3.0;1.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;4.0;4.0;1.0;1.0;5.0;3.0;7.0;2.0;7.0;2.0;7.0;4.0;7.0;2.0;2.0;7.0;6.0;6.0;6.0;6.0;6.0;2.0;5.0;5.0;2.0;5.0;5.0;16.0;1.0;;3.0;1.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
