;nomen;revenu;agglo9;loc_log;stat_log;nb_voit;nb_tv;jardin;micro_onde;frigo;congelo;four;soins;situ_fin;situ_alim;manq_alim;viande;jard_potager;jard_verger;jard_pelouse;jard_poules;nbpers;sexe_chef;age_chefq;nbadu;nbenf;agglo5;ech;cspc;reg;pcschef;up;jard_rien;sitalim_regime;sitalim_temps;sitalim_argent;sitalim_depl;sitalim_rhf;sitalim_place;sitalim_autre;chef_diplo;chef_situprof;chef_statempl;chef_typempl;chef_atrav;chef_nbsal;tage_chef;pond_men;selcuileg;selcuivp;selcuivps;selcuioeuf;saliere;selcrud;typesel;chori;chprix;chlabel;chsani;chhabit;chmarq;chpres;chprod;chgout;chetiq;chnut;claim;inscuisson;insconserv;stokcons;micronde;consopc;dlcoeuf;dlcjamb;dlcsaum;dlcfrom;dlcpl;dlcyao;dlclaif;dlccrem;dlcvian;dlcpcsv;csvjamb;csvcharc;csvpc;csventrf;csvfromc;csvvian;nreprill;nreppate;nrepjamb;nrepsaum;nrepsauc;temp;thermo;tempfrig;alimcru;reste;puits;traiteau;traiteauch;traitcirc;traitusag;systion;systcharb;autsyst;fqtrait;entrprof;entrindi;chfacil;chnouv;chpub;nrchoix;traitnsp;nrtrait;systmemb;systmeca;systuv;systaut;systnsp;nrsyst;entrnsp
117;110885;15;1;3;1;2;4;1;1;1;1;1;2;4;1;4;1;1.0;1.0;1.0;2.0;6;1;37;2;4;1;1;11.0;1;6.0;210004;2.0;;;;;;;;7;1;3.0;2.0;;;4;0.1307448;4.0;4.0;4.0;4.0;3.0;4.0;5.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;9.0;2.0;2.0;1.0;4.0;1.0;1.0;1.0;1.0;1.0;7.0;1.0;1.0;1.0;1.0;7.0;2.0;2.0;6.0;6.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;4.0;1.0;;1.0;1.0;9.0;9.0;;;;;;;;;;2.0;2.0;2.0;1.0;;;;;;;;;
118;110887;15;1;3;1;2;3;1;2;1;1;1;2;1;1;4;1;1.0;1.0;1.0;1.0;2;1;47;2;0;1;1;10.0;1;5.0;210004;2.0;;;;;;;;7;1;1.0;2.0;;;4;0.3922344;4.0;3.0;4.0;3.0;3.0;4.0;2.0;1.0;2.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;4.0;2.0;1.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;1.0;1.0;1.0;2.0;1.0;5.0;5.0;5.0;3.0;5.0;5.0;2.0;6.0;2.0;1.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
119;110888;15;1;3;2;1;2;1;1;1;1;1;2;2;1;4;1;1.0;1.0;1.0;1.0;2;1;47;2;0;1;1;11.0;1;6.0;210004;2.0;;;;;;;;7;1;3.0;2.0;;;4;0.3922344;1.0;1.0;1.0;1.0;4.0;4.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;4.0;2.0;2.0;2.0;4.0;2.0;7.0;1.0;1.0;1.0;7.0;2.0;1.0;1.0;7.0;7.0;2.0;2.0;6.0;6.0;3.0;1.0;3.0;5.0;2.0;2.0;5.0;5.0;2.0;5.0;3.0;1.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
120;110889;8;1;3;2;2;4;1;1;1;1;1;2;4;1;4;1;1.0;1.0;1.0;1.0;4;1;50;2;2;1;1;10.0;1;5.0;210004;2.0;;;;;;;;7;1;1.0;2.0;;;5;0.1961172;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;4.0;4.0;4.0;2.0;1.0;5.0;1.0;1.0;1.0;1.0;7.0;3.0;1.0;1.0;1.0;7.0;1.0;1.0;6.0;6.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;99.0;1.0;;3.0;1.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
121;110891;3;1;3;4;1;2;2;1;1;1;1;1;3;2;4;1;;;;;3;2;38;1;2;1;1;10.0;1;5.0;210004;;2.0;2.0;1.0;2.0;2.0;2.0;2.0;10;1;2.0;1.0;;;4;0.1307448;1.0;1.0;1.0;1.0;4.0;4.0;2.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0;1.0;2.0;2.0;4.0;3.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;2.0;2.0;6.0;2.0;3.0;2.0;2.0;2.0;2.0;1.0;3.0;4.0;1.0;;3.0;1.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
122;110893;3;1;3;2;1;1;1;1;1;1;1;1;5;3;1;2;1.0;1.0;1.0;2.0;4;1;53;3;1;1;1;11.0;1;6.0;210004;2.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;1;1;3.0;2.0;;;5;0.2941759;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;4.0;2.0;1.0;1.0;1.0;1.0;7.0;1.0;1.0;1.0;1.0;7.0;1.0;2.0;6.0;6.0;3.0;1.0;3.0;3.0;3.0;3.0;3.0;16.0;1.0;;2.0;2.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
123;110903;15;1;3;2;3;4;1;1;1;1;1;2;2;1;4;1;1.0;2.0;1.0;1.0;2;1;75;2;0;1;1;16.0;1;7.0;210007;2.0;;;;;;;;6;4;3.0;2.0;1.0;;7;0.3922344;1.0;1.0;1.0;1.0;4.0;9.0;1.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;1.0;2.0;3.0;2.0;3.0;3.0;2.0;3.0;1.0;2.0;2.0;1.0;1.0;1.0;2.0;2.0;2.0;2.0;3.0;1.0;3.0;2.0;3.0;1.0;5.0;16.0;2.0;8.0;3.0;2.0;3.0;1.0;2.0;1.0;2.0;1.0;2.0;;5.0;2.0;2.0;2.0;2.0;2.0;;2.0;;2.0;2.0;2.0;2.0;2.0;;2.0
124;110906;6;1;3;2;1;3;1;1;1;1;1;2;4;1;4;1;1.0;1.0;1.0;2.0;2;1;75;2;0;1;1;16.0;1;7.0;210007;2.0;;;;;;;;6;4;3.0;2.0;1.0;;7;0.3922346;4.0;3.0;1.0;1.0;4.0;4.0;2.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0;1.0;2.0;2.0;4.0;2.0;1.0;1.0;4.0;1.0;1.0;1.0;1.0;1.0;7.0;1.0;7.0;7.0;1.0;7.0;2.0;6.0;6.0;6.0;6.0;1.0;5.0;5.0;5.0;1.0;1.0;1.0;2.0;1.0;2.0;1.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
125;110908;14;1;3;2;1;2;1;1;1;1;1;2;1;1;4;1;1.0;2.0;1.0;2.0;2;1;69;2;0;1;1;16.0;1;7.0;210007;2.0;;;;;;;;10;4;1.0;2.0;1.0;;6;0.3922344;1.0;1.0;4.0;1.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;4.0;2.0;1.0;3.0;4.0;3.0;6.0;2.0;2.0;2.0;7.0;3.0;7.0;7.0;2.0;7.0;1.0;2.0;6.0;2.0;3.0;2.0;3.0;3.0;1.0;3.0;3.0;4.0;1.0;;2.0;2.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
126;110910;15;1;3;2;2;3;1;1;1;1;1;2;2;1;4;1;1.0;2.0;1.0;2.0;3;1;50;3;0;1;1;7.0;1;4.0;210007;2.0;;;;;;;;3;1;3.0;2.0;;;5;0.3922345;1.0;1.0;1.0;2.0;2.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;4.0;2.0;2.0;1.0;2.0;4.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;7.0;2.0;2.0;2.0;3.0;3.0;1.0;3.0;5.0;2.0;1.0;5.0;2.0;1.0;;3.0;2.0;3.0;3.0;;;;;;;;;;1.0;2.0;2.0;;;;;;;;;;
