;nomen;revenu;agglo9;loc_log;stat_log;nb_voit;nb_tv;jardin;micro_onde;frigo;congelo;four;soins;situ_fin;situ_alim;manq_alim;viande;jard_potager;jard_verger;jard_pelouse;jard_poules;nbpers;sexe_chef;age_chefq;nbadu;nbenf;agglo5;ech;cspc;reg;pcschef;up;jard_rien;sitalim_regime;sitalim_temps;sitalim_argent;sitalim_depl;sitalim_rhf;sitalim_place;sitalim_autre;chef_diplo;chef_situprof;chef_statempl;chef_typempl;chef_atrav;chef_nbsal;tage_chef;pond_men;selcuileg;selcuivp;selcuivps;selcuioeuf;saliere;selcrud;typesel;chori;chprix;chlabel;chsani;chhabit;chmarq;chpres;chprod;chgout;chetiq;chnut;claim;inscuisson;insconserv;stokcons;micronde;consopc;dlcoeuf;dlcjamb;dlcsaum;dlcfrom;dlcpl;dlcyao;dlclaif;dlccrem;dlcvian;dlcpcsv;csvjamb;csvcharc;csvpc;csventrf;csvfromc;csvvian;nreprill;nreppate;nrepjamb;nrepsaum;nrepsauc;temp;thermo;tempfrig;alimcru;reste;puits;traiteau;traiteauch;traitcirc;traitusag;systion;systcharb;autsyst;fqtrait;entrprof;entrindi;chfacil;chnouv;chpub;nrchoix;traitnsp;nrtrait;systmemb;systmeca;systuv;systaut;systnsp;nrsyst;entrnsp
753;113241;5;1;4;2;1;3;1;1;1;1;1;2;1;1;4;1;1.0;1.0;1.0;2.0;2;1;65;2;0;1;1;16.0;4;7.0;830019;2.0;;;;;;;;6;4;3.0;2.0;1.0;;6;0.3812302;1.0;1.0;1.0;1.0;4.0;4.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;2.0;3.0;2.0;3.0;1.0;1.0;3.0;1.0;3.0;3.0;2.0;1.0;1.0;1.0;1.0;2.0;1.0;3.0;1.0;2.0;2.0;3.0;2.0;1.0;8.0;2.0;8.0;2.0;1.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
754;113243;6;1;2;2;2;3;1;1;1;1;1;2;2;1;4;1;1.0;1.0;1.0;1.0;4;1;46;2;2;1;1;18.0;4;8.0;830019;2.0;;;;;;;;7;6;;;2.0;;4;0.1906151;2.0;3.0;3.0;3.0;3.0;3.0;3.0;1.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0;1.0;2.0;1.0;2.0;2.0;2.0;1.0;3.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;1.0;3.0;2.0;2.0;2.0;1.0;1.0;1.0;2.0;2.0;2.0;3.0;2.0;1.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
755;113251;7;1;3;2;1;1;1;1;1;2;1;2;2;1;4;1;1.0;1.0;1.0;2.0;1;1;58;1;0;1;1;8.0;4;4.0;830057;2.0;;;;;;;;9;1;1.0;2.0;;;5;0.4567259;4.0;4.0;4.0;4.0;6.0;4.0;3.0;1.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;5.0;3.0;3.0;7.0;7.0;7.0;7.0;4.0;2.0;7.0;7.0;7.0;2.0;6.0;6.0;6.0;3.0;2.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;5.0;2.0;2.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
756;113253;15;1;3;2;2;2;1;1;1;1;1;2;1;1;4;1;2.0;1.0;1.0;2.0;2;1;59;2;0;1;1;16.0;4;7.0;830057;2.0;;;;;;;;9;4;3.0;2.0;1.0;;5;0.3815506;1.0;4.0;2.0;9.0;1.0;1.0;9.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;9.0;2.0;3.0;2.0;4.0;3.0;6.0;7.0;3.0;7.0;7.0;4.0;1.0;7.0;7.0;7.0;2.0;2.0;6.0;1.0;4.0;2.0;2.0;5.0;5.0;3.0;5.0;4.0;1.0;;2.0;1.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
757;113256;9;1;3;2;1;3;1;1;1;1;1;2;1;1;4;1;1.0;1.0;1.0;2.0;2;1;65;2;0;1;1;16.0;4;7.0;830057;2.0;;;;;;;;7;4;3.0;2.0;1.0;;6;0.381412;2.0;1.0;1.0;4.0;4.0;4.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;1.0;2.0;2.0;2.0;3.0;2.0;2.0;4.0;2.0;1.0;3.0;2.0;3.0;1.0;3.0;1.0;3.0;1.0;1.0;2.0;2.0;1.0;3.0;4.0;1.0;3.0;2.0;2.0;1.0;5.0;5.0;2.0;98.0;2.0;1.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
758;113258;2;1;3;4;1;1;1;2;1;2;1;1;5;2;4;2;2.0;2.0;1.0;2.0;1;1;23;1;0;1;1;11.0;4;6.0;830090;2.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;9;1;2.0;3.0;;;2;1.372429;1.0;1.0;1.0;1.0;2.0;3.0;1.0;2.0;1.0;2.0;2.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;4.0;3.0;1.0;1.0;1.0;6.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;5.0;5.0;2.0;1.0;5.0;3.0;2.0;98.0;3.0;3.0;4.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
759;113263;6;1;4;2;1;4;1;1;1;1;1;2;2;1;4;1;2.0;1.0;1.0;2.0;2;1;54;2;0;1;1;11.0;4;6.0;830090;2.0;;;;;;;;7;1;3.0;2.0;;;5;0.3812302;1.0;1.0;1.0;1.0;1.0;2.0;1.0;2.0;2.0;2.0;2.0;1.0;2.0;1.0;2.0;1.0;2.0;2.0;2.0;4.0;4.0;1.0;4.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;3.0;2.0;2.0;2.0;2.0;3.0;5.0;2.0;2.0;2.0;16.0;1.0;;1.0;2.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
760;113264;10;1;3;1;2;3;2;1;1;1;1;2;1;1;4;1;;;;;3;1;41;2;1;1;1;2.0;4;2.0;830090;;;;;;;;;7;1;7.0;10.0;;0.0;4;0.2541535;1.0;1.0;1.0;1.0;2.0;4.0;1.0;2.0;2.0;1.0;2.0;1.0;2.0;2.0;2.0;1.0;2.0;2.0;4.0;3.0;2.0;1.0;3.0;2.0;3.0;1.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;1.0;2.0;2.0;2.0;2.0;4.0;2.0;5.0;1.0;2.0;1.0;1.0;4.0;1.0;;1.0;3.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
761;113266;15;1;4;2;1;2;1;2;1;1;1;2;3;1;4;1;1.0;1.0;2.0;1.0;2;1;75;2;0;1;1;16.0;4;7.0;830090;2.0;;;;;;;;2;4;6.0;2.0;1.0;4.0;7;1.369246;4.0;1.0;1.0;1.0;2.0;4.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;1.0;2.0;2.0;4.0;4.0;1.0;1.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;5.0;5.0;5.0;5.0;5.0;3.0;2.0;98.0;3.0;1.0;1.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
762;113274;2;4;1;3;3;2;2;1;1;2;1;1;3;2;3;1;;;;;3;2;23;1;2;2;1;18.0;4;8.0;831026;;2.0;1.0;2.0;2.0;2.0;2.0;2.0;7;6;3.0;1.0;1.0;;2;0.1172784;3.0;3.0;4.0;4.0;6.0;4.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;5.0;2.0;1.0;3.0;2.0;1.0;1.0;1.0;4.0;2.0;2.0;1.0;2.0;1.0;7.0;2.0;2.0;6.0;6.0;4.0;2.0;3.0;5.0;3.0;3.0;5.0;16.0;1.0;;3.0;2.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
