;nomen;revenu;agglo9;loc_log;stat_log;nb_voit;nb_tv;jardin;micro_onde;frigo;congelo;four;soins;situ_fin;situ_alim;manq_alim;viande;jard_potager;jard_verger;jard_pelouse;jard_poules;nbpers;sexe_chef;age_chefq;nbadu;nbenf;agglo5;ech;cspc;reg;pcschef;up;jard_rien;sitalim_regime;sitalim_temps;sitalim_argent;sitalim_depl;sitalim_rhf;sitalim_place;sitalim_autre;chef_diplo;chef_situprof;chef_statempl;chef_typempl;chef_atrav;chef_nbsal;tage_chef;pond_men;selcuileg;selcuivp;selcuivps;selcuioeuf;saliere;selcrud;typesel;chori;chprix;chlabel;chsani;chhabit;chmarq;chpres;chprod;chgout;chetiq;chnut;claim;inscuisson;insconserv;stokcons;micronde;consopc;dlcoeuf;dlcjamb;dlcsaum;dlcfrom;dlcpl;dlcyao;dlclaif;dlccrem;dlcvian;dlcpcsv;csvjamb;csvcharc;csvpc;csventrf;csvfromc;csvvian;nreprill;nreppate;nrepjamb;nrepsaum;nrepsauc;temp;thermo;tempfrig;alimcru;reste;puits;traiteau;traiteauch;traitcirc;traitusag;systion;systcharb;autsyst;fqtrait;entrprof;entrindi;chfacil;chnouv;chpub;nrchoix;traitnsp;nrtrait;systmemb;systmeca;systuv;systaut;systnsp;nrsyst;entrnsp
1277;116264;8;6;2;4;1;3;1;1;1;1;1;2;4;2;4;1;2.0;2.0;1.0;2.0;2;2;50;2;0;3;1;10.0;1;5.0;412013;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;3;1;3.0;2.0;;;5;0.3158159;4.0;3.0;3.0;4.0;4.0;4.0;2.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;1.0;2.0;4.0;2.0;1.0;2.0;3.0;1.0;5.0;1.0;1.0;2.0;2.0;3.0;2.0;2.0;1.0;2.0;2.0;2.0;1.0;1.0;3.0;2.0;5.0;2.0;2.0;1.0;1.0;99.0;1.0;;3.0;1.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
1301;116374;12;6;2;4;1;3;2;1;1;1;1;2;2;1;4;1;;;;;2;1;44;2;0;3;1;8.0;1;4.0;412013;;;;;;;;;9;1;3.0;2.0;;;4;0.315829;3.0;3.0;3.0;4.0;4.0;3.0;2.0;1.0;2.0;2.0;2.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;4.0;2.0;1.0;3.0;1.0;3.0;3.0;4.0;3.0;4.0;1.0;3.0;3.0;3.0;2.0;3.0;3.0;2.0;5.0;5.0;2.0;2.0;5.0;16.0;1.0;;3.0;2.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
1386;116701;11;5;1;5;1;3;2;1;1;1;1;2;4;2;4;1;;;;;3;1;39;2;1;3;1;10.0;1;5.0;411045;;2.0;1.0;2.0;2.0;2.0;2.0;2.0;14;1;1.0;2.0;;;4;0.2691512;1.0;2.0;2.0;1.0;3.0;4.0;2.0;2.0;1.0;2.0;2.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;1.0;1.0;4.0;3.0;1.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;5.0;7.0;6.0;6.0;6.0;6.0;6.0;4.0;3.0;3.0;2.0;1.0;3.0;16.0;1.0;;1.0;1.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
1392;116712;10;8;1;1;1;2;2;1;1;1;1;2;2;1;4;1;;;;;2;1;39;2;0;4;1;10.0;1;5.0;413002;;;;;;;;;11;1;3.0;3.0;;;4;0.2882215;1.0;3.0;4.0;1.0;1.0;4.0;2.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;3.0;3.0;1.0;2.0;2.0;4.0;2.0;5.0;1.0;3.0;2.0;3.0;2.0;2.0;3.0;2.0;4.0;2.0;5.0;2.0;2.0;2.0;1.0;4.0;1.0;;2.0;1.0;3.0;3.0;;;;;;;;;;1.0;2.0;2.0;;;;;;;;;;
1396;116725;13;8;2;2;2;3;1;1;1;1;1;2;2;1;4;1;2.0;2.0;1.0;2.0;4;1;40;2;2;4;1;10.0;1;5.0;413002;2.0;;;;;;;;11;1;3.0;2.0;;;4;0.1441107;3.0;3.0;3.0;3.0;4.0;3.0;3.0;1.0;2.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;1.0;3.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;3.0;3.0;2.0;5.0;5.0;1.0;5.0;5.0;6.0;1.0;;2.0;1.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
1409;116794;10;8;2;3;2;4;2;1;1;1;1;2;4;2;3;2;;;;;5;1;35;2;3;4;1;11.0;1;6.0;413002;;2.0;2.0;1.0;2.0;2.0;2.0;2.0;7;1;3.0;2.0;;;4;0.1152886;3.0;2.0;1.0;2.0;4.0;4.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;1.0;3.0;1.0;2.0;2.0;1.0;3.0;2.0;3.0;1.0;1.0;1.0;2.0;3.0;2.0;2.0;2.0;3.0;2.0;5.0;2.0;1.0;1.0;1.0;3.0;1.0;;9.0;1.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
1445;116940;12;8;2;2;2;4;1;1;1;1;1;2;2;1;4;1;2.0;2.0;1.0;2.0;2;1;28;2;0;4;1;7.0;1;4.0;413002;2.0;;;;;;;;11;1;3.0;2.0;;;3;0.2882215;2.0;1.0;2.0;1.0;1.0;3.0;2.0;1.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;3.0;2.0;2.0;2.0;7.0;2.0;3.0;3.0;1.0;3.0;2.0;3.0;2.0;2.0;2.0;3.0;3.0;2.0;5.0;5.0;2.0;5.0;1.0;3.0;2.0;3.0;3.0;1.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
1454;116976;9;8;2;3;2;3;2;1;1;1;1;2;3;1;4;1;;;;;4;1;34;2;2;4;1;11.0;1;6.0;413001;;;;;;;;;10;1;3.0;2.0;;;4;0.1998096;1.0;2.0;2.0;2.0;4.0;4.0;3.0;2.0;1.0;2.0;2.0;1.0;2.0;1.0;2.0;2.0;2.0;2.0;9.0;1.0;1.0;1.0;3.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;7.0;1.0;1.0;1.0;2.0;6.0;1.0;1.0;3.0;1.0;5.0;5.0;2.0;1.0;3.0;5.0;1.0;;2.0;1.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
1485;117114;1;8;2;4;1;2;2;1;1;2;2;2;5;1;4;1;;;;;1;1;21;1;0;4;1;15.0;1;8.0;413001;;;;;;;;;10;3;3.0;1.0;1.0;;2;0.944518;1.0;1.0;1.0;1.0;4.0;4.0;3.0;2.0;1.0;2.0;2.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;1.0;3.0;2.0;2.0;7.0;2.0;2.0;2.0;2.0;7.0;2.0;2.0;2.0;6.0;6.0;1.0;6.0;6.0;1.0;5.0;5.0;5.0;2.0;5.0;2.0;1.0;;3.0;1.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
1492;117159;5;8;1;4;1;2;2;2;1;2;2;2;3;1;4;1;;;;;1;1;26;1;0;4;1;10.0;1;5.0;413001;;;;;;;;;9;2;3.0;2.0;1.0;;3;1.029595;6.0;2.0;6.0;6.0;6.0;6.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;4.0;5.0;5.0;1.0;6.0;5.0;7.0;9.0;7.0;1.0;7.0;2.0;7.0;2.0;1.0;7.0;6.0;6.0;6.0;6.0;6.0;1.0;9.0;9.0;9.0;5.0;5.0;4.0;2.0;98.0;3.0;4.0;3.0;9.0;;;;;;;;;;2.0;2.0;2.0;1.0;;;;;;;;;
1512;123895;3;8;2;4;1;2;2;1;1;1;1;2;5;1;3;2;;;;;2;2;38;1;1;4;1;11.0;1;6.0;413001;;;;;;;;;7;1;3.0;2.0;;;4;0.1568486;1.0;1.0;3.0;1.0;3.0;3.0;5.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;4.0;3.0;3.0;1.0;4.0;2.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;2.0;6.0;6.0;2.0;3.0;2.0;5.0;3.0;3.0;1.0;2.0;2.0;2.0;2.0;3.0;1.0;3.0;3.0;;;;;;;;;;1.0;2.0;2.0;;;;;;;;;;
1542;127339;10;7;2;1;2;3;1;1;1;1;1;2;2;1;4;1;2.0;2.0;1.0;2.0;4;1;36;2;2;4;1;9.0;1;4.0;413003;2.0;;;;;;;;7;1;3.0;2.0;;;4;0.1571391;4.0;1.0;3.0;1.0;3.0;4.0;3.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0;1.0;2.0;2.0;4.0;1.0;1.0;1.0;3.0;2.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;2.0;1.0;1.0;2.0;2.0;6.0;6.0;2.0;1.0;5.0;2.0;2.0;2.0;2.0;5.0;1.0;;1.0;1.0;3.0;1.0;2.0;1.0;2.0;1.0;2.0;;2.0;2.0;1.0;2.0;2.0;2.0;;2.0;;2.0;2.0;2.0;2.0;2.0;;2.0
1550;127392;11;8;2;4;2;2;2;1;1;1;1;2;2;1;4;1;;;;;2;1;26;2;0;4;1;6.0;1;3.0;413001;;;;;;;;;12;1;3.0;2.0;;;3;0.313816;1.0;1.0;3.0;1.0;1.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;3.0;1.0;3.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;2.0;6.0;2.0;2.0;2.0;2.0;2.0;2.0;6.0;1.0;;3.0;1.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
1570;134035;9;1;3;1;2;3;2;2;1;1;1;2;2;1;4;1;;;;;5;1;40;4;1;1;1;9.0;1;4.0;41030;;;;;;;;;7;1;3.0;2.0;;;4;0.2930453;2.0;1.0;9.0;1.0;1.0;4.0;3.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;3.0;1.0;1.0;6.0;2.0;3.0;7.0;1.0;1.0;7.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;6.0;6.0;6.0;1.0;2.0;5.0;5.0;1.0;2.0;5.0;1.0;;3.0;1.0;3.0;3.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;
